Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,1761,0.850

2,1002,0.850

3,553,0.850

4,278,0.850

5,1148,0.850

6,1600,0.850

7,1309,0.850

8,408,0.850

9,266,0.850

10,674,0.850

11,1119,0.850

12,1572,0.850

13,1347,0.850

14,1021,0.850

15,310,0.851

16,863,0.851

17,955,0.851

18,949,0.851

19,1025,0.851

20,443,0.851

21,417,0.851

22,863,0.851

23,1059,0.851

24,1518,0.851

25,866,0.851

26,1066,0.851

27,436,0.851

28,130,0.851

29,946,0.851

30,1562,0.851

31,1300,0.851

32,1085,0.851

33,383,0.851

34,348,0.851

35,462,0.851

36,841,0.851

37,936,0.851

38,844,0.851

39,1353,0.851

40,1347,0.851

41,873,0.851

42,613,0.851

43,392,0.851

44,389,0.851

45,430,0.851

46,955,0.851

47,1138,0.851

48,591,0.851

49,408,0.851

50,304,0.851

51,-41,0.851

52,348,0.851

53,1142,0.851

54,765,0.851

55,1081,0.851

56,655,0.851

57,427,0.851

58,386,0.851

59,816,0.851

60,1110,0.851

61,904,0.851

62,1069,0.851

63,825,0.851

64,591,0.851

65,658,0.851

66,440,0.851

67,326,0.851

68,525,0.851

69,1252,0.851

70,949,0.851

71,522,0.851

72,645,0.851

73,436,0.851

74,493,0.851

75,958,0.851

76,835,0.851

77,1164,0.851

78,1540,0.851

79,964,0.851

80,645,0.851

81,440,0.851

82,455,0.851

83,863,0.851

84,787,0.851

85,1379,0.851

86,860,0.851

87,389,0.851

88,560,0.851

89,433,0.851

90,1025,0.851

91,1040,0.851

92,1009,0.851

93,977,0.851

94,1066,0.851

95,781,0.851

96,743,0.851

97,699,0.851

98,496,0.851

99,718,0.851

100,658,0.851

101,879,0.851

102,623,0.852

103,829,0.852

104,1025,0.852

105,1312,0.852

106,1777,0.852

107,787,0.852

108,765,0.852

109,519,0.852

110,572,0.852

111,740,0.852

112,1006,0.852

113,1505,0.852

114,1458,0.852

115,1629,0.852

116,1031,0.852

117,1059,0.852

118,1018,0.852

119,914,0.852

120,550,0.852

121,544,0.852

122,636,0.852

123,876,0.852

124,1284,0.852

125,1328,0.852

126,1034,0.852

127,904,0.852

128,708,0.852

129,759,0.852

130,617,0.852

131,383,0.852

132,898,0.852

133,1448,0.852

134,1040,0.852

135,987,0.852

136,1151,0.852

137,1233,0.852

138,753,0.852

139,617,0.852

140,487,0.852

141,680,0.852

142,1123,0.852

143,990,0.852

144,1151,0.852

145,841,0.852

146,1331,0.852

147,1221,0.852

148,740,0.852

149,655,0.852

150,911,0.852

151,1176,0.852

152,1363,0.852

153,920,0.852

154,601,0.852

155,395,0.852

156,642,0.852

157,1211,0.852

158,1180,0.852

159,854,0.852

160,772,0.852

161,626,0.852

162,655,0.852

163,1451,0.852

164,1224,0.852

165,730,0.852

166,781,0.852

167,661,0.852

168,1034,0.852

169,1597,0.852

170,1192,0.852

171,705,0.852

172,724,0.852

173,810,0.852

174,1600,0.852

175,1034,0.852

176,749,0.852

177,961,0.852

178,727,0.852

179,1025,0.852

180,1031,0.852

181,1056,0.852

182,911,0.852

183,376,0.852

184,636,0.852

185,794,0.852

186,1211,0.852

187,1132,0.852

188,898,0.852

189,914,0.853

190,1164,0.853

191,917,0.853

192,221,0.853

193,484,0.853

194,493,0.853

195,519,0.853

196,759,0.853

197,395,0.853

198,889,0.853

199,854,0.853

200,664,0.853

201,1388,0.853

202,993,0.853

203,1164,0.853

204,778,0.853

205,411,0.853

206,636,0.853

207,721,0.853

208,1002,0.853

209,1037,0.853

210,879,0.853

211,610,0.853

212,813,0.853

213,1104,0.853

214,1037,0.853

215,1161,0.853

216,895,0.853

217,538,0.853

218,1040,0.853

219,1176,0.853

220,1040,0.853

221,430,0.853

222,1407,0.853

223,1189,0.853

224,1059,0.853

225,531,0.853

226,1268,0.853

227,1451,0.853

228,1391,0.853

229,560,0.853

230,642,0.853

231,1616,0.853

232,765,0.853

233,544,0.853

234,983,0.853

235,1777,0.853

236,1214,0.853

237,534,0.853

238,636,0.853

