Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
2,70,0.495

3,-13,0.496

4,398,0.496

5,174,0.496

6,775,0.497

7,152,0.497

8,278,0.497

9,-193,0.498

10,-237,0.498

11,-509,0.498

12,-544,0.499

13,212,0.499

14,180,0.499

15,174,0.500

16,446,0.500

17,63,0.500

18,756,0.501

19,133,0.501

20,63,0.501

21,-209,0.502

22,-424,0.502

23,-506,0.502

24,6,0.503

25,433,0.503

26,158,0.503

27,126,0.504

28,465,0.504

29,-275,0.504

30,-357,0.505

31,-212,0.505

32,16,0.505

33,180,0.506

34,117,0.506

35,791,0.506

36,54,0.507

37,-152,0.507

38,-275,0.507

39,-604,0.507

40,-158,0.508

41,-250,0.508

42,-209,0.508

43,114,0.509

44,775,0.509

45,225,0.509

46,-9,0.510

47,-462,0.510

48,-474,0.510

49,-576,0.511

50,-319,0.511

51,-35,0.511

52,149,0.512

53,468,0.512

54,237,0.512

55,572,0.513

56,-123,0.513

57,-266,0.513

58,-351,0.514

59,-247,0.514

60,-221,0.514

61,-364,0.515

62,130,0.515

63,503,0.515

64,389,0.516

65,623,0.516

66,209,0.516

67,190,0.517

68,421,0.517

69,-57,0.517

70,89,0.518

71,759,0.518

72,6,0.518

73,-57,0.519

74,300,0.519

75,231,0.519

76,452,0.520

77,519,0.520

78,493,0.520

79,225,0.521

80,28,0.521

81,357,0.521

82,139,0.522

83,79,0.522

84,613,0.522

85,446,0.523

86,114,0.523

87,-126,0.523

88,-250,0.524

89,-193,0.524

90,-620,0.524

91,35,0.525

92,-342,0.525

93,-171,0.525

94,25,0.526

95,-22,0.526

96,243,0.526

97,133,0.527

98,-275,0.527

99,-506,0.527

100,-25,0.528

101,174,0.528

102,933,0.528

103,240,0.528

104,-250,0.529

105,-281,0.529

106,-506,0.529

107,-538,0.530

108,-35,0.530

109,145,0.530

110,360,0.531

111,-19,0.531

112,234,0.531

113,76,0.532

114,47,0.532

115,66,0.532

116,613,0.533

117,-281,0.533

118,54,0.533

119,-32,0.534

120,187,0.534

121,108,0.534

122,768,0.535

123,-243,0.535

124,-506,0.535

125,-177,0.536

126,149,0.536

127,478,0.536

128,-171,0.537

129,-281,0.537

130,-487,0.537

131,47,0.538

132,-32,0.538

133,202,0.538

134,51,0.539

135,-41,0.539

136,613,0.539

137,243,0.540

138,76,0.540

139,-168,0.540

140,-41,0.541

141,-680,0.541

142,-500,0.541

143,-41,0.542

144,-351,0.542

145,-319,0.542

146,-430,0.543

147,28,0.543

148,104,0.543

149,9,0.544

150,266,0.544

151,202,0.544

152,133,0.545

153,496,0.545

154,234,0.545

155,500,0.546

156,234,0.546

157,120,0.546

158,28,0.547

159,-506,0.547

160,-329,0.547

161,-762,0.548

162,-370,0.548

163,-199,0.548

164,41,0.549

165,155,0.549

166,632,0.549

167,392,0.550

168,519,0.550

169,-130,0.550

170,-272,0.550

171,-335,0.551

172,193,0.551

173,-221,0.551

174,117,0.552

175,250,0.552

176,519,0.552

177,452,0.553

178,297,0.553

179,-266,0.553

180,-266,0.554

181,-373,0.554

182,-436,0.554

183,-522,0.555

184,-269,0.555

185,-351,0.555

186,-297,0.556

187,180,0.556

188,54,0.556

189,168,0.557

190,-25,0.557

191,-262,0.557

192,-35,0.558

193,617,0.558

194,117,0.558

195,667,0.559

196,288,0.559

197,-237,0.559

198,-674,0.560

199,-496,0.560

200,-32,0.560

201,209,0.561

202,446,0.561

203,209,0.561

204,493,0.562

205,73,0.562

206,-180,0.562

207,-509,0.563
