Layer 1
Velocity0.033m/ns
Trace Nr, Depth  m
1,0.551

2,0.551

3,0.551

4,0.551

5,0.551

6,0.551

7,0.551

8,0.551

9,0.551

10,0.551

11,0.551

12,0.551

13,0.551

14,0.551

15,0.551

16,0.551

17,0.550

18,0.550

19,0.550

20,0.550

21,0.550

22,0.550

23,0.550

24,0.550

25,0.550

26,0.550

27,0.550

28,0.550

29,0.550

30,0.550

31,0.550

32,0.550

33,0.550

34,0.550

35,0.550

36,0.550

37,0.550

38,0.550

39,0.550

40,0.550

41,0.550

42,0.550

43,0.550

44,0.550

45,0.550

46,0.550

47,0.549

48,0.549

49,0.549

50,0.549

51,0.549

52,0.549

53,0.549

54,0.549

55,0.549

56,0.549

57,0.549

58,0.549

59,0.549

60,0.549

61,0.549

62,0.549

63,0.549

64,0.549

65,0.549

66,0.549

67,0.549

68,0.549

69,0.549

70,0.549

71,0.549

72,0.549

73,0.549

74,0.549

75,0.549

76,0.548

77,0.548

78,0.548

79,0.548

80,0.548

81,0.548

82,0.548

83,0.548

84,0.548

85,0.548

86,0.548

87,0.548

88,0.548

89,0.548

90,0.548

91,0.548

92,0.548

93,0.548

94,0.548

95,0.548

96,0.548

97,0.548

98,0.548

99,0.548

100,0.548

101,0.548

102,0.548

103,0.548

104,0.548

105,0.547

106,0.547

107,0.547

108,0.547

109,0.547

110,0.547

111,0.547

112,0.547

113,0.547

114,0.547

115,0.547

116,0.547

117,0.547

118,0.547

119,0.547

120,0.547

121,0.547

122,0.547

123,0.547

124,0.547

125,0.547

126,0.547

127,0.547

128,0.547

129,0.547

130,0.547

131,0.547

132,0.547

133,0.547

134,0.547

135,0.546

136,0.546

137,0.546

138,0.546

139,0.546

140,0.546

141,0.546

142,0.546

143,0.546

144,0.546

145,0.546

146,0.546

147,0.546

148,0.546

149,0.546

150,0.546

151,0.546

152,0.546

153,0.546

154,0.546

155,0.546

156,0.546

157,0.546

158,0.546

159,0.546

160,0.546

161,0.546

162,0.546

163,0.546

164,0.545

165,0.545

166,0.545

167,0.545

168,0.545

169,0.545

170,0.545

171,0.545

172,0.545

173,0.545

174,0.545

175,0.545

176,0.545

177,0.545

178,0.545

179,0.545

180,0.545

181,0.545

182,0.545

183,0.545

184,0.545

185,0.545

186,0.545

187,0.545

188,0.545

189,0.545

190,0.545

191,0.545

192,0.545

193,0.544

194,0.544

195,0.544

196,0.544

197,0.544

198,0.544

199,0.544

200,0.544

201,0.544

202,0.544

203,0.544

204,0.544

205,0.544

206,0.544

207,0.544

208,0.544

209,0.544

210,0.544

211,0.544

212,0.544

213,0.544

214,0.544

215,0.544

216,0.544

217,0.544

218,0.544

219,0.544

220,0.544

221,0.544

222,0.544

223,0.543

224,0.543

225,0.543

226,0.543

227,0.543

228,0.543

229,0.543

230,0.543

231,0.543

232,0.543

233,0.543

234,0.543

235,0.543

236,0.543

237,0.543

238,0.543

239,0.543

240,0.543

241,0.543

242,0.543

243,0.543

244,0.543

245,0.543

246,0.543

247,0.543

248,0.543

249,0.543

250,0.543

251,0.543

252,0.542

253,0.542

254,0.542

255,0.542

256,0.542

257,0.542

258,0.542

259,0.542

260,0.542

261,0.542

262,0.542

263,0.542

264,0.542

265,0.542

266,0.542

267,0.542

268,0.542

269,0.542

270,0.542

271,0.542

272,0.542

273,0.542

274,0.542

275,0.542

276,0.542

277,0.542

278,0.542

279,0.542

280,0.542

281,0.541

282,0.541

283,0.541

284,0.541

285,0.541

286,0.541

287,0.541

288,0.541

289,0.541

290,0.541

291,0.541

292,0.541

293,0.541

294,0.541

295,0.541

296,0.541

297,0.541

298,0.541

299,0.541

300,0.541

301,0.541

302,0.541

303,0.541

304,0.541

305,0.541

306,0.541

307,0.541

308,0.541

309,0.541

310,0.541

311,0.540

312,0.540

313,0.540

314,0.540

315,0.540

316,0.540

317,0.540

318,0.540

319,0.540

320,0.540

321,0.540

322,0.540

323,0.540

324,0.540

325,0.540

326,0.540

327,0.540

328,0.540

329,0.540

330,0.540

331,0.540

332,0.540

333,0.540

334,0.540

335,0.540

336,0.540

337,0.540

338,0.540

339,0.540

340,0.539

341,0.539

342,0.539

343,0.539

344,0.539

345,0.539

346,0.539

347,0.539

348,0.539

349,0.539

350,0.539

351,0.539

352,0.539

353,0.539

354,0.539

355,0.539

356,0.539

357,0.539

358,0.539

359,0.539

360,0.539

361,0.539

362,0.539

363,0.539

364,0.539

365,0.539

366,0.539

367,0.539

368,0.539

369,0.538

370,0.538

371,0.538

372,0.538

373,0.538

374,0.538

375,0.538

376,0.538

377,0.538

378,0.538

379,0.538

380,0.538

381,0.538

382,0.538

383,0.538

384,0.538

385,0.538

386,0.538

387,0.538

388,0.538

389,0.538

390,0.538

391,0.538

392,0.538

393,0.538

394,0.538

395,0.538

396,0.538

397,0.538

398,0.538

399,0.537

400,0.537

401,0.537

402,0.537

403,0.537

404,0.537

405,0.537

406,0.537

407,0.537

408,0.537

409,0.537

410,0.537

411,0.537

412,0.537

413,0.537

414,0.537

415,0.537

416,0.537

417,0.537

418,0.537

419,0.537

420,0.537

421,0.537

422,0.537

423,0.537

424,0.537

425,0.537

426,0.537

427,0.537

428,0.537

429,0.537

430,0.537

431,0.537

432,0.537

433,0.537

434,0.537

435,0.537

436,0.537

437,0.537

438,0.537

439,0.537

440,0.537

441,0.537

442,0.537

443,0.537

444,0.537

445,0.537

446,0.537

447,0.537

448,0.537

449,0.537

450,0.537

451,0.538

452,0.538

453,0.538

454,0.538

455,0.538

456,0.538

457,0.538

458,0.538

459,0.538

460,0.538

461,0.538

462,0.538

463,0.538

464,0.538

465,0.538

466,0.538

467,0.538

468,0.538

469,0.538

470,0.538

471,0.538

472,0.538

473,0.538

474,0.538

475,0.538

476,0.538

477,0.538

478,0.538

479,0.538

480,0.538

481,0.538

482,0.539

483,0.539

484,0.539

485,0.539

486,0.539

487,0.539

488,0.539

489,0.539

490,0.539

491,0.539

492,0.539

493,0.539

494,0.539

495,0.539

496,0.539

497,0.539

498,0.539

499,0.539

500,0.539

501,0.539

502,0.539

503,0.539

504,0.539

505,0.539

506,0.539

507,0.539

508,0.539

509,0.539

510,0.539

511,0.539

512,0.539

513,0.540

514,0.540

515,0.540

516,0.540

517,0.540

518,0.540

519,0.540

520,0.540

521,0.540

522,0.540

523,0.540

524,0.540

525,0.540

526,0.540

527,0.540

528,0.540

529,0.540

530,0.540

531,0.540

532,0.540

533,0.540

534,0.540

535,0.540

536,0.540

537,0.540

538,0.540

539,0.540

540,0.540

541,0.540

542,0.540

543,0.540

544,0.540

545,0.541

546,0.541

547,0.541

548,0.541

549,0.541

550,0.541

551,0.541

552,0.541

553,0.541

554,0.541

555,0.541

556,0.541

557,0.541

558,0.541

559,0.541

560,0.541

561,0.541

562,0.541

563,0.541

564,0.541

565,0.541

566,0.541

567,0.541

568,0.541

569,0.541

570,0.541

571,0.541

572,0.542

573,0.542

574,0.542

575,0.542

576,0.542

577,0.542

578,0.542

579,0.542

580,0.542

581,0.542

582,0.542

583,0.542

584,0.542

585,0.542

586,0.542

587,0.542

588,0.542

589,0.542

590,0.542

591,0.542

592,0.542

593,0.542

594,0.542

595,0.542

596,0.542

597,0.542

598,0.542

599,0.543

600,0.543

601,0.543

602,0.543

603,0.543

604,0.543

605,0.543

606,0.543

607,0.543

608,0.543

609,0.543

610,0.543

611,0.543

612,0.543

613,0.543

614,0.543

615,0.543

616,0.543

617,0.543

618,0.543

619,0.543

620,0.543

621,0.543

622,0.543

623,0.543

624,0.543

625,0.543

626,0.544

627,0.544

628,0.544

629,0.544

