Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
7,57,0.491

8,-620,0.491

9,-310,0.492

10,-174,0.492

11,44,0.492

12,199,0.492

13,123,0.493

14,98,0.493

15,190,0.493

16,313,0.494

17,145,0.494

18,-424,0.494

19,60,0.494

20,-427,0.495

21,-342,0.495

22,51,0.495

23,730,0.495

24,490,0.496

25,-677,0.496

26,-493,0.496

27,-639,0.496

28,243,0.497

29,538,0.497

30,114,0.497

31,342,0.497

32,-19,0.498

33,-225,0.498

34,-762,0.498

35,-496,0.498

36,70,0.499

37,202,0.499

38,174,0.499

39,560,0.499

40,-171,0.500

41,-275,0.500

42,-538,0.500

43,-648,0.500

44,133,0.501

45,357,0.501

46,313,0.501

47,240,0.501

48,509,0.502

49,-136,0.502

50,-142,0.502

51,111,0.502

52,183,0.503

53,209,0.503

54,481,0.503

55,25,0.504

56,-402,0.504

57,-446,0.504

58,-307,0.504

59,-297,0.505

60,209,0.505

61,63,0.505

62,436,0.505

63,139,0.506

64,-202,0.506

65,35,0.506

66,-743,0.506

67,-25,0.507

68,145,0.507

69,496,0.507

70,-677,0.507

71,-247,0.508

72,-202,0.508

73,215,0.508

74,66,0.508

75,-256,0.509

76,60,0.509

77,73,0.509

78,247,0.509

79,-187,0.510

80,-269,0.510

81,16,0.510

82,152,0.510

83,465,0.511

84,-253,0.511

85,-528,0.511

86,-446,0.511

87,199,0.512

88,610,0.512

89,-256,0.512

90,-386,0.512

91,-225,0.513

92,-47,0.513

93,512,0.513

94,-25,0.513

95,-304,0.514

96,-351,0.514

97,28,0.514

98,610,0.515

99,76,0.515

100,-446,0.515

101,-348,0.515

102,414,0.516

103,142,0.516

104,569,0.516

105,-180,0.516

106,-538,0.517

107,-212,0.517

108,28,0.517

109,-47,0.517

110,519,0.518

111,-22,0.518

112,-19,0.518

113,-762,0.518

114,-534,0.519

115,408,0.519

116,234,0.519

117,493,0.519

118,-275,0.520

119,-149,0.520

120,-402,0.520

121,-294,0.520

122,44,0.521

123,206,0.521

124,424,0.521

125,-38,0.521

126,120,0.522

127,-19,0.522

128,-367,0.522

129,-196,0.522

130,-35,0.523

131,430,0.523

132,237,0.523

133,297,0.523

134,-250,0.524

135,-503,0.524

136,57,0.524

137,-421,0.524

138,-177,0.525

139,-281,0.525

140,424,0.525

141,139,0.526

142,-202,0.526

143,-275,0.526

144,-730,0.526

145,427,0.527

146,104,0.527

147,465,0.527

148,120,0.527

149,-632,0.528

150,66,0.528

151,266,0.528

152,506,0.528

153,-250,0.529

154,57,0.529

155,-522,0.529

156,3,0.529

157,164,0.530

158,161,0.530

159,-237,0.530

160,-493,0.530

161,-569,0.531

162,-531,0.531

163,212,0.531

164,6,0.531

165,424,0.532

166,240,0.532

167,819,0.532

168,139,0.532

169,-152,0.533

170,-275,0.533

171,-392,0.533

172,-968,0.533

173,-212,0.534

174,133,0.534

175,111,0.534

176,465,0.534

177,92,0.535

178,427,0.535

179,-266,0.535

180,-354,0.536

181,-28,0.536

182,519,0.536

183,478,0.536

184,215,0.537

185,76,0.537

186,-266,0.537

187,-481,0.537

188,-636,0.538

189,-177,0.538

190,98,0.538

191,-22,0.538

192,323,0.539

193,114,0.539

194,164,0.539

195,234,0.539

196,281,0.540

197,215,0.540

198,-123,0.540

199,-275,0.540

200,-171,0.541

201,-585,0.541

202,-538,0.541

203,-629,0.541

204,66,0.542

205,130,0.542

206,114,0.542

207,285,0.542

208,446,0.543

209,-19,0.543

210,-44,0.543

211,-259,0.543

212,-130,0.544

213,-376,0.544

214,-636,0.544

215,-168,0.544

216,202,0.545

