Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
3,90,0.415

4,-1170,0.415

5,-860,0.415

6,-430,0.416

7,-900,0.416

8,660,0.416

9,450,0.417

10,1050,0.417

11,-950,0.417

12,-3050,0.418

13,-1150,0.418

14,390,0.418

15,270,0.419

16,350,0.419

17,50,0.419

18,-1160,0.420

19,-430,0.420

20,-590,0.420

21,1620,0.421

22,1950,0.421

23,670,0.421

24,-550,0.422

25,-390,0.422

26,-580,0.422

27,260,0.422

28,40,0.423

29,670,0.423

30,790,0.423

31,-1050,0.424

32,-2470,0.424

33,-1920,0.424

34,-520,0.425

35,60,0.425

36,460,0.425

37,570,0.426

38,-490,0.426

39,340,0.426

40,170,0.427

41,-1110,0.427

42,-830,0.427

43,1130,0.428

44,580,0.428

45,-700,0.428

46,-1360,0.429

47,-430,0.429

48,700,0.429

49,1240,0.430

50,-2040,0.430

51,-1460,0.430

52,190,0.430

53,1130,0.431

54,1650,0.431

55,610,0.431

56,-2130,0.432

57,-150,0.432

58,890,0.432

59,1360,0.433

60,-470,0.433

61,-1240,0.433

62,780,0.434

63,880,0.434

64,-710,0.434

65,-1350,0.435

66,1170,0.435

67,640,0.435

68,610,0.436

69,-540,0.436

70,1130,0.436

71,140,0.437

72,-790,0.437

73,-550,0.437

74,-580,0.437

75,1250,0.438

76,-1990,0.438

77,-820,0.438

78,1180,0.439

79,740,0.439

80,630,0.439

81,960,0.440

82,1550,0.440

83,1160,0.440

84,1260,0.441

85,100,0.441

86,-540,0.441

87,50,0.442

88,490,0.442

89,-20,0.442

90,-1600,0.443

91,-1160,0.443

92,-1100,0.443

93,-90,0.444

94,790,0.444

95,530,0.444

96,-950,0.444

97,-1440,0.445

98,80,0.445

99,630,0.445

100,-100,0.446

101,-550,0.446

102,-750,0.446

103,-870,0.447

104,-820,0.447

105,-90,0.447

106,370,0.448

107,-1070,0.448

108,1360,0.448

109,1030,0.449

110,880,0.449

111,-940,0.449

112,-760,0.450

113,-1120,0.450

114,1610,0.450

115,-90,0.451

116,-2050,0.451

117,50,0.451

118,980,0.451

119,1350,0.452

120,690,0.452

