Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
3,-60,0.821

4,164,0.822

5,171,0.822

6,161,0.823

7,-478,0.823

8,-509,0.823

9,-550,0.824

10,-326,0.824

11,16,0.824

12,-152,0.825

13,370,0.825

14,478,0.825

15,133,0.826

16,-95,0.826

17,-101,0.826

18,-414,0.827

19,-538,0.827

20,-601,0.827

21,-370,0.828

22,-408,0.828

23,92,0.829

24,-338,0.829

25,41,0.829

26,47,0.830

27,82,0.830

28,126,0.830

29,319,0.831

30,-32,0.831

31,-364,0.831

32,-538,0.832

33,-272,0.832

34,101,0.832

35,82,0.833

36,433,0.833

37,-70,0.833

38,-111,0.834

39,-572,0.834

40,-759,0.835

41,-541,0.835

42,-550,0.835

43,-63,0.836

44,-73,0.836

45,342,0.836

46,-25,0.837

47,-212,0.837

48,-443,0.837

49,-749,0.838

50,-693,0.838

51,-288,0.838

52,534,0.839

53,-250,0.839

54,57,0.840

55,82,0.840

56,455,0.840

57,28,0.841

58,-452,0.841

59,-304,0.841

60,-221,0.842

61,-468,0.842

62,-262,0.842

63,199,0.843

64,183,0.843

65,231,0.843

66,307,0.844

67,243,0.844

68,-373,0.844

69,-354,0.845

70,-443,0.845

71,-51,0.846

72,500,0.846

73,490,0.846

74,525,0.847

75,158,0.847

76,-28,0.847

77,25,0.848

78,-174,0.848

79,-490,0.848

80,-275,0.849

81,-145,0.849

82,-225,0.849

83,-161,0.850

84,-655,0.850

85,-648,0.851

86,-743,0.851

87,-509,0.851

88,-60,0.852

89,-348,0.852

90,111,0.852

91,130,0.853

92,259,0.853

93,-500,0.853

94,-563,0.854

95,-538,0.854

96,-560,0.854

97,-563,0.855

98,-111,0.855

99,-82,0.855

100,-202,0.856

101,114,0.856

102,101,0.857

103,117,0.857

104,278,0.857

105,215,0.858

106,215,0.858

107,149,0.858

108,47,0.859

109,-338,0.859

110,-85,0.859

111,-613,0.860

112,-797,0.860

113,-376,0.860

114,-601,0.861

115,108,0.861

116,108,0.862

117,-724,0.862

118,177,0.862

119,101,0.863

120,108,0.863

121,35,0.863

122,-256,0.864

123,-576,0.864

124,-547,0.864

125,108,0.865

126,47,0.865

127,-92,0.865

128,-63,0.866

129,139,0.866

130,-342,0.866

131,-376,0.867

132,-338,0.867

133,-563,0.868

134,-354,0.868

135,-781,0.868

136,-544,0.869

137,-576,0.869

138,9,0.869

139,221,0.870

140,436,0.870

141,446,0.870

142,468,0.871

143,588,0.871

144,-57,0.871

145,-262,0.872

146,-402,0.872

147,-534,0.873

148,-395,0.873

149,57,0.873

150,63,0.874

151,-73,0.874

152,180,0.874

153,-234,0.875

154,-171,0.875

155,487,0.875

156,411,0.876

157,-28,0.876

158,225,0.876

159,-269,0.877

160,-25,0.877

161,285,0.877

162,262,0.878

163,142,0.878

164,117,0.879

165,0,0.879

166,291,0.879

167,32,0.880

168,-174,0.880

169,-285,0.880

170,-180,0.881

171,-373,0.881

172,89,0.881

173,-38,0.882

174,-566,0.882

175,-70,0.882

176,421,0.883

177,386,0.883

178,-253,0.883

179,-237,0.884

180,-525,0.884

181,-288,0.885

182,-54,0.885

183,-310,0.885

184,247,0.886

185,73,0.886

186,66,0.886

187,-225,0.887

188,-607,0.887

189,-987,0.887

190,304,0.888

191,-3,0.888

192,-152,0.888

193,-617,0.889

194,114,0.889

195,108,0.890

196,-304,0.890

197,-895,0.890

198,-316,0.891

199,-342,0.891

200,-373,0.891

201,114,0.892

202,-212,0.892

203,-354,0.892

204,-525,0.893

205,-145,0.893

206,-272,0.893

207,101,0.894

208,338,0.894

209,237,0.894

210,35,0.895

211,-329,0.895

212,-797,0.896

213,-585,0.896

214,-847,0.896

215,-73,0.897

216,120,0.897

217,57,0.897

218,-57,0.898

219,-76,0.898

220,-885,0.898

221,-294,0.899

222,-519,0.899

223,-304,0.899

224,196,0.900

225,79,0.900

226,-452,0.901

227,-566,0.901

228,-920,0.901

229,-433,0.902

230,168,0.902

231,108,0.902

232,22,0.903

233,-538,0.903

234,-949,0.903

235,-560,0.904

236,114,0.904

237,-85,0.904

238,161,0.905

239,-70,0.905

240,-196,0.905

241,-335,0.906

242,-262,0.906

243,-528,0.907

244,-297,0.907

245,-683,0.907

246,123,0.908

247,155,0.908

248,-775,0.908

249,-955,0.909

250,-250,0.909

251,123,0.909

252,313,0.910

253,32,0.910

254,-294,0.910

255,-262,0.911

256,-288,0.911

257,-288,0.912

258,468,0.912

259,737,0.912

260,-215,0.913

261,-209,0.913

262,-610,0.913

263,-765,0.914

264,209,0.914

265,212,0.914

266,13,0.915

267,-440,0.915

268,-455,0.915

269,-379,0.916

270,82,0.916

271,351,0.916

272,275,0.917

273,-16,0.917

274,-266,0.918

275,-266,0.918

276,326,0.918

277,187,0.919

278,25,0.919

279,-553,0.919

280,-392,0.920

281,35,0.920

282,465,0.920

283,281,0.921

284,762,0.921

285,-85,0.921

286,202,0.922

287,367,0.922

288,588,0.922

289,269,0.923

290,-383,0.923

291,111,0.924

292,436,0.924

293,174,0.924

294,285,0.925

295,41,0.925

296,79,0.925

297,730,0.926

298,6,0.926

299,-145,0.926

300,-63,0.927

301,-462,0.927

302,95,0.927

303,272,0.928

304,503,0.928

305,424,0.929

306,-51,0.929

307,-180,0.929

308,79,0.930

309,414,0.930

310,85,0.930

311,183,0.931

312,32,0.931

313,278,0.931

314,209,0.932

315,512,0.932

316,193,0.932

317,-250,0.933

318,-455,0.933

319,389,0.933

320,180,0.934

321,95,0.934

322,-126,0.935

323,-515,0.935

324,98,0.935

325,108,0.936

326,-142,0.936

327,-661,0.936

328,-478,0.937

329,190,0.937

330,392,0.937

331,-218,0.938

332,-500,0.938

333,32,0.938

334,218,0.939

335,291,0.939

336,-772,0.940

337,-414,0.940

338,-79,0.940

339,496,0.941

340,398,0.941

341,89,0.941

342,389,0.942

343,-32,0.942

344,-449,0.942

345,-408,0.943

346,218,0.943

347,266,0.943

348,-449,0.944

349,-487,0.944

350,76,0.944

351,500,0.945

352,414,0.945

353,-639,0.946

354,-696,0.946

355,-285,0.946

356,95,0.947

357,-38,0.947

358,-130,0.947

359,503,0.948

360,196,0.948

361,-32,0.948

362,-645,0.949

363,-183,0.949

364,452,0.949

365,155,0.950

366,-209,0.950

367,-304,0.951

368,304,0.951

369,136,0.951

370,28,0.952

371,-345,0.952

372,-379,0.952

373,-266,0.953

374,221,0.953

375,730,0.953

376,300,0.954

377,44,0.954

378,-462,0.954

379,348,0.955

380,591,0.955

381,199,0.955

382,54,0.956

383,307,0.956

384,468,0.957

385,515,0.957

386,199,0.957

387,-386,0.958

388,-168,0.958

389,512,0.958

390,971,0.959

391,-247,0.959

392,-496,0.959

393,161,0.960

394,123,0.960

395,-3,0.960

396,-291,0.961

397,-215,0.961

398,-272,0.961

399,221,0.962

400,209,0.962

401,-262,0.963

402,-481,0.963

403,310,0.963

404,443,0.964

405,133,0.964

406,193,0.964

407,-272,0.965

408,-155,0.965

409,-389,0.965

410,60,0.966

411,171,0.966

412,-278,0.966

413,-531,0.967

414,-528,0.967

415,-28,0.968

416,-19,0.968

417,-212,0.968

418,41,0.969

419,522,0.969

420,506,0.969

421,525,0.970

422,35,0.970

423,-126,0.970

424,449,0.971

425,171,0.971

426,-38,0.971

427,-528,0.972

428,60,0.972

429,-57,0.972

430,-433,0.973

431,-376,0.973

432,-164,0.974

433,528,0.974

434,51,0.974

435,496,0.975

436,-9,0.975

437,-379,0.975

438,-534,0.976

439,101,0.976

440,104,0.976

441,177,0.977

442,-285,0.977

443,-164,0.977

444,506,0.978

445,187,0.978

446,-206,0.979

447,-503,0.979

448,-307,0.979

449,117,0.980

450,104,0.980

451,28,0.980

452,-417,0.981

453,-108,0.981

454,338,0.981

455,54,0.982

456,591,0.982

457,13,0.982

458,-389,0.983

459,-398,0.983

460,-108,0.983

461,-288,0.984

462,183,0.984

463,-51,0.985

464,-759,0.985

465,-278,0.985

466,-247,0.986

467,240,0.986

468,493,0.986

469,38,0.987

470,250,0.987

471,38,0.987

472,342,0.988

473,70,0.988

474,-674,0.988

475,522,0.989

476,250,0.989

477,-297,0.990

478,-281,0.990

479,515,0.990

480,269,0.991

481,-389,0.991

482,66,0.991

483,367,0.992

484,28,0.992

485,-275,0.992

486,364,0.993

487,-379,0.993

488,-142,0.993

489,433,0.994

490,379,0.994

491,-395,0.994

492,379,0.995

493,-228,0.995

494,-212,0.996

495,278,0.996

496,104,0.996

497,645,0.997

498,329,0.997

499,164,0.997

500,544,0.998

501,724,0.998

502,269,0.998

503,-180,0.999

504,500,0.999

505,512,0.999

506,51,1.000

507,183,1.000

508,16,1.000

509,329,1.001

510,187,1.001

511,117,1.002

512,-547,1.002

513,-411,1.002

514,44,1.003

515,686,1.003

516,-76,1.003

517,-209,1.004

518,60,1.004

519,253,1.004

520,117,1.005

521,816,1.005

522,123,1.005

523,-379,1.006

524,-262,1.006

525,16,1.007

526,519,1.007

527,481,1.007

528,-392,1.008

529,54,1.008

530,133,1.008

531,576,1.009

532,-323,1.009

533,-187,1.009

534,392,1.010

535,319,1.010

536,285,1.010

537,22,1.011

538,85,1.011

539,803,1.011

540,705,1.012

541,-73,1.012

542,-386,1.013

543,92,1.013

544,645,1.013

545,-164,1.014

546,-534,1.014

547,98,1.014

548,231,1.015

549,180,1.015

550,-642,1.015

551,462,1.016

552,762,1.016

553,693,1.016

554,-136,1.017

555,266,1.017

556,493,1.018

