Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,131,0.776

2,141,0.776

3,126,0.777

4,407,0.777

5,111,0.777

6,114,0.778

7,-8,0.778

8,-42,0.778

9,36,0.779

10,-20,0.779

11,134,0.779

12,293,0.780

13,135,0.780

14,247,0.780

15,236,0.781

16,321,0.781

17,-50,0.781

18,-63,0.782

19,-42,0.782

20,21,0.782

21,-58,0.783

22,-112,0.783

23,135,0.783

24,232,0.783

25,230,0.784

26,84,0.784

27,325,0.784

28,59,0.785

29,12,0.785

30,-104,0.785

31,68,0.786

32,36,0.786

33,1,0.786

34,-7,0.787

35,137,0.787

36,-71,0.787

37,44,0.788

38,26,0.788

39,269,0.788

40,231,0.789

41,243,0.789

42,197,0.789

43,186,0.790

44,235,0.790

45,131,0.790

46,213,0.791

47,193,0.791

48,235,0.791

49,85,0.792

50,188,0.792

51,175,0.792

52,197,0.793

53,56,0.793

54,260,0.793

55,75,0.794

56,233,0.794

57,27,0.794

58,291,0.795

59,136,0.795

60,146,0.795

61,141,0.795

62,294,0.796

63,173,0.796

64,197,0.796

65,89,0.797

66,337,0.797

67,330,0.797

68,171,0.798

69,114,0.798

70,134,0.798

71,168,0.799

72,238,0.799

73,30,0.799

74,229,0.800

75,191,0.800

76,183,0.800

77,58,0.801

78,178,0.801

79,314,0.801

80,334,0.802

81,119,0.802

82,203,0.802

83,140,0.803

84,310,0.803

85,26,0.803

86,171,0.804

87,-183,0.804

88,-105,0.804

89,8,0.805

90,-114,0.805

91,-76,0.805

92,-263,0.806

93,-74,0.806

94,-56,0.806

95,-54,0.807

96,-57,0.807

97,-151,0.807

98,-77,0.807

99,-138,0.808

100,63,0.808

101,204,0.808

102,114,0.809

103,55,0.809

104,38,0.809

105,-4,0.810

106,-38,0.810

107,-7,0.810

108,3,0.811

109,3,0.811

110,-147,0.811

111,8,0.812

112,34,0.812

113,142,0.812

114,56,0.813

115,137,0.813

116,8,0.813

117,222,0.814

118,140,0.814

119,167,0.814

120,1,0.815

121,-20,0.815

122,99,0.815

123,-18,0.816

124,-18,0.816

125,56,0.816

126,129,0.817

127,47,0.817

128,167,0.817

129,137,0.818

130,101,0.818

131,49,0.818

132,45,0.819

133,-213,0.819

134,-236,0.819

135,-145,0.819

136,-205,0.820

137,73,0.820

138,-49,0.820

139,36,0.821

140,174,0.821

141,128,0.821

142,-112,0.822

143,-177,0.822

144,-185,0.822

145,-195,0.823

146,-184,0.823

147,12,0.823

148,-73,0.824

149,37,0.824

150,-56,0.824

151,-105,0.825

152,-22,0.825

153,-267,0.825

154,-264,0.826

155,-96,0.826

156,-350,0.826

157,-197,0.827

158,-248,0.827

159,-324,0.827

160,-233,0.828

161,-208,0.828

162,-68,0.828

163,-11,0.829

164,70,0.829

165,-68,0.829

166,174,0.830

167,54,0.830

168,144,0.830

169,20,0.831

170,122,0.831

171,-27,0.831

172,67,0.831

