Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
2,2467,0.797

3,-4902,0.797

4,-2024,0.797

5,2340,0.798

6,791,0.798

7,-190,0.799

8,-379,0.799

9,1360,0.799

10,-2878,0.800

11,-2024,0.800

12,-6831,0.801

13,3605,0.801

14,-8412,0.802

15,1929,0.802

16,4490,0.802

17,-4332,0.803

18,2435,0.803

19,32,0.804

20,-5060,0.804

21,5629,0.804

22,-4554,0.805

23,5597,0.805

24,-4269,0.806

25,-696,0.806

26,-1866,0.806

27,2214,0.807

28,1613,0.807

29,1486,0.808

30,474,0.808

31,2656,0.808

32,4206,0.809

33,2941,0.809

34,3226,0.810

35,-4364,0.810

36,-3099,0.810

37,-4016,0.811

38,4775,0.811

39,-2625,0.812

40,1360,0.812

41,-1961,0.812

42,-3447,0.813

43,5787,0.813

44,-1992,0.814

45,2055,0.814

46,-4016,0.814

47,1486,0.815

48,63,0.815

49,3162,0.816

50,-3099,0.816

51,1581,0.816

52,-1518,0.817

53,-2467,0.817

54,4649,0.818

55,-2182,0.818

56,3542,0.818

57,4016,0.819

58,-4016,0.819

59,2277,0.820

60,4396,0.820

61,-2214,0.820

62,4585,0.821

63,-2909,0.821

64,2656,0.822

65,4585,0.822

66,316,0.822

67,4680,0.823

68,2372,0.823

69,3890,0.824

70,-4206,0.824

71,-1676,0.824

72,2340,0.825

73,-1708,0.825

74,-95,0.826

75,2530,0.826

76,-4206,0.826

77,1897,0.827

78,-1518,0.827

79,3036,0.828

80,2846,0.828

81,2435,0.828

82,-2498,0.829

83,1233,0.829

84,-1581,0.830

85,95,0.830

86,5471,0.830

87,-4143,0.831

88,2909,0.831

89,759,0.832

90,-2751,0.832

91,2372,0.833

92,-2403,0.833

93,63,0.833

94,-4427,0.834

95,95,0.834

96,6831,0.835

97,-3194,0.835

98,1929,0.835

99,2814,0.836

100,2909,0.836

101,-4807,0.837

102,5249,0.837

103,-4554,0.837

104,-4838,0.838

105,-980,0.838

106,-6483,0.839

107,-2277,0.839

108,-791,0.839

109,-5091,0.840

110,1202,0.840

111,-949,0.841

112,506,0.841

113,-7336,0.841

114,-1075,0.842

115,4364,0.842

116,4649,0.843

117,-3542,0.843

118,63,0.843

119,2751,0.844

120,-5850,0.844

121,1834,0.845

122,-4206,0.845

123,4775,0.845

124,-2182,0.846

125,348,0.846

126,-4364,0.847

127,3415,0.847

128,506,0.847

129,-2625,0.848

130,3257,0.848

131,-4174,0.849

132,727,0.849

133,-2277,0.849

134,3668,0.850

135,5439,0.850

136,-1170,0.851

137,3953,0.851

138,-5155,0.851

139,1992,0.852

140,3763,0.852

141,601,0.853

142,3858,0.853

143,-8791,0.853

144,506,0.854

145,-2214,0.854

146,-6957,0.855

147,5566,0.855

148,1897,0.855

149,1297,0.856

150,2277,0.856

151,-4775,0.857

152,3668,0.857

153,3320,0.857

154,-2214,0.858

155,4522,0.858

156,-2182,0.859

157,-6957,0.859

158,2024,0.859

159,474,0.860

160,3067,0.860

161,1961,0.861

162,-3257,0.861

163,1739,0.862

164,-2024,0.862

165,-5439,0.862

166,-917,0.863

167,4554,0.863

168,-4206,0.864

169,443,0.864

170,1739,0.864

171,3226,0.865

172,-1518,0.865

173,-4111,0.866

174,4680,0.866

175,4617,0.866

176,2561,0.867

177,-2150,0.867

178,-696,0.868

179,-1138,0.868

180,-5534,0.868

181,-2814,0.869

182,759,0.869

183,2593,0.870

184,4965,0.870

185,4902,0.870

186,1012,0.871

187,-4079,0.871

188,-2656,0.872

189,4237,0.872

190,-253,0.872

191,-32,0.873

192,4048,0.873

193,3194,0.874

194,1423,0.874

195,5597,0.874

196,4933,0.875

197,538,0.875

198,0,0.876

199,5977,0.876

200,-1012,0.876

201,-2372,0.877

202,2245,0.877

203,5376,0.878

204,3131,0.878

205,-2340,0.878

206,1360,0.879

207,3795,0.879

208,411,0.880

209,-4490,0.880

210,-5755,0.880

211,-4838,0.881

212,-4111,0.881

213,-4174,0.882

214,-949,0.882

215,4396,0.882

