Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,1063,0.838

2,715,0.838

3,832,0.838

4,667,0.838

5,699,0.838

6,300,0.838

7,383,0.838

8,-22,0.838

9,13,0.838

10,190,0.838

11,610,0.838

12,825,0.838

13,670,0.838

14,1056,0.838

15,686,0.838

16,648,0.838

17,1233,0.838

18,740,0.838

19,696,0.838

20,294,0.838

21,98,0.838

22,-259,0.838

23,-275,0.838

24,427,0.838

25,686,0.838

26,1123,0.838

27,712,0.838

28,411,0.838

29,288,0.838

30,275,0.838

31,164,0.838

32,348,0.838

33,215,0.838

34,326,0.838

35,1217,0.838

36,911,0.838

37,889,0.838

38,803,0.838

39,1056,0.838

40,936,0.838

41,746,0.838

42,465,0.838

43,370,0.838

44,-3,0.838

45,272,0.838

46,1018,0.838

47,1246,0.838

48,904,0.838

49,1056,0.838

50,1025,0.838

51,506,0.838

52,471,0.838

53,76,0.838

54,319,0.838

55,6,0.838

56,256,0.838

57,367,0.838

58,860,0.838

59,1148,0.838

60,1097,0.838

61,1227,0.838

62,765,0.838

63,708,0.838

64,772,0.838

65,642,0.838

66,613,0.838

67,885,0.838

68,772,0.838

69,794,0.838

70,908,0.838

71,1129,0.838

72,901,0.838

73,582,0.839

74,908,0.839

75,705,0.839

76,664,0.839

77,645,0.839

78,1265,0.839

79,674,0.839

80,645,0.839

81,1056,0.839

82,730,0.839

83,582,0.839

84,946,0.839

85,822,0.839

86,664,0.839

87,1262,0.839

88,778,0.839

89,661,0.839

90,351,0.839

91,300,0.839

92,269,0.839

93,117,0.839

94,57,0.839

95,16,0.839

96,-22,0.839

97,582,0.839

98,832,0.839

99,737,0.839

100,569,0.839

101,-54,0.839

102,538,0.839

103,25,0.839

104,433,0.839

105,152,0.839

106,383,0.839

107,680,0.839

108,683,0.839

109,310,0.839

110,269,0.839

111,-136,0.839

112,-47,0.839

113,-35,0.839

114,398,0.839

115,816,0.839

116,674,0.839

117,25,0.839

118,421,0.839

119,734,0.839

120,683,0.839

121,930,0.839

122,541,0.839

123,304,0.839

124,-234,0.839

125,9,0.839

126,610,0.839

127,689,0.839

128,797,0.839

129,715,0.839

130,60,0.839

131,13,0.839

132,28,0.839

133,269,0.839

134,158,0.839

135,300,0.839

136,822,0.839

137,1132,0.839

138,870,0.839

139,674,0.839

140,844,0.839

141,522,0.839

142,746,0.839

143,595,0.839

144,550,0.839

145,648,0.839

146,503,0.839

147,424,0.839

148,294,0.839

149,-51,0.839

150,-3,0.839

151,-60,0.839

152,357,0.839

153,-41,0.839

154,278,0.839

155,342,0.839

156,275,0.839

157,503,0.839

158,424,0.839

159,876,0.839

160,572,0.839

161,946,0.839

162,1050,0.839

163,806,0.839

164,964,0.839

165,791,0.839

166,547,0.839

167,740,0.839

168,-130,0.839

169,111,0.839

170,506,0.839

171,674,0.839

172,576,0.839

173,1044,0.839

174,968,0.839

175,1028,0.839

176,629,0.839

177,572,0.839

178,338,0.839

179,243,0.839

180,19,0.839

181,104,0.839

182,613,0.839

183,-3,0.839

184,104,0.839

185,443,0.839

186,-22,0.839

187,19,0.839

188,193,0.839

189,294,0.839

190,-73,0.839

191,323,0.839

192,-25,0.839

193,25,0.839

194,484,0.839

195,421,0.839

196,563,0.839

197,724,0.839

198,579,0.839

199,509,0.839

200,632,0.839

201,114,0.839

202,190,0.839

203,500,0.839

204,563,0.839

205,398,0.839

206,753,0.840

207,579,0.840

208,791,0.840

209,781,0.840

210,471,0.840

211,73,0.840

212,180,0.840

213,19,0.840

214,313,0.840

215,417,0.840

216,1034,0.840

217,452,0.840

218,613,0.840

219,591,0.840

220,272,0.840

221,433,0.840

222,500,0.840

223,338,0.840

224,462,0.840

225,727,0.840

226,607,0.840

227,158,0.840

228,275,0.840

229,452,0.840

230,664,0.840

231,515,0.840

232,478,0.840

233,705,0.840

234,803,0.840

235,806,0.840

236,478,0.840

237,9,0.840

238,531,0.840

239,743,0.840

240,876,0.840

241,607,0.840

242,569,0.840

243,310,0.840

244,674,0.840

245,503,0.840

246,421,0.840

247,693,0.840

248,553,0.840

249,525,0.840

250,661,0.840

251,259,0.840

252,-28,0.840

253,202,0.840

254,462,0.840

255,579,0.840

256,541,0.840

257,936,0.840

258,427,0.840

259,395,0.840

260,209,0.840

261,351,0.840

262,424,0.840

263,946,0.840

264,468,0.840

265,490,0.840

266,6,0.840

267,585,0.840

268,294,0.840

269,563,0.840

270,753,0.840

271,-3,0.840

272,0,0.840

273,-120,0.840

274,427,0.840

275,847,0.840

276,471,0.840

277,3,0.840

278,405,0.840

279,563,0.840

280,300,0.840

281,579,0.840

282,389,0.840

283,749,0.840

284,367,0.840

285,243,0.840

286,-9,0.840

287,319,0.840

288,971,0.840

289,323,0.840

290,335,0.840

291,512,0.840

292,142,0.840

293,16,0.840

294,304,0.840

295,563,0.840

296,557,0.840

297,421,0.840

298,392,0.840

299,269,0.840

300,-370,0.840

301,443,0.840

302,746,0.840

303,1059,0.840

304,471,0.840

305,136,0.840

306,85,0.840

307,569,0.840

308,632,0.840

309,620,0.840

310,440,0.840

311,515,0.840

312,16,0.840

313,357,0.840

314,563,0.840

315,632,0.840

316,961,0.840

317,294,0.840

318,455,0.840

319,22,0.840

320,-3,0.840

321,196,0.840

322,345,0.840

323,297,0.840

324,901,0.840

325,946,0.840

326,449,0.840

327,557,0.840

328,968,0.840

329,591,0.840

330,718,0.840

331,288,0.840

332,433,0.840

333,667,0.840

334,430,0.840

335,342,0.840

336,250,0.840

337,114,0.840

338,6,0.840

339,-136,0.841

340,183,0.841

341,158,0.841

342,304,0.841

343,364,0.841

344,424,0.841

345,563,0.841

346,522,0.841

347,595,0.841

348,496,0.841

349,468,0.841

350,187,0.841

351,16,0.841

352,-66,0.841

353,373,0.841

354,351,0.841

355,155,0.841

356,304,0.841

357,664,0.841

358,291,0.841

359,414,0.841

360,655,0.841

361,440,0.841

