Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,1107,0.797

2,2024,0.797

3,0,0.798

4,-4996,0.798

5,2846,0.798

6,-7147,0.799

7,980,0.799

8,-2245,0.800

9,5471,0.800

10,-2087,0.801

11,2087,0.801

12,-63,0.801

13,5155,0.802

14,-4364,0.802

15,-1644,0.803

16,-8791,0.803

17,1866,0.804

18,-4237,0.804

19,2751,0.804

20,-4269,0.805

21,2720,0.805

22,-4206,0.806

23,759,0.806

24,-1486,0.807

25,443,0.807

26,-1613,0.807

27,1550,0.808

28,4522,0.808

29,-4554,0.809

30,4680,0.809

31,-6957,0.810

32,4016,0.810

33,-7210,0.811

34,-885,0.811

35,3731,0.811

36,-759,0.812

37,1107,0.812

38,5534,0.813

39,-3447,0.813

40,7874,0.814

41,3921,0.814

42,2878,0.814

43,2087,0.815

44,1518,0.815

45,3731,0.816

46,221,0.816

47,5407,0.817

48,696,0.817

49,4649,0.817

50,-2308,0.818

51,4870,0.818

52,4048,0.819

53,1644,0.819

54,-5155,0.820

55,-348,0.820

56,-2182,0.820

57,-1897,0.821

58,4237,0.821

59,-474,0.822

60,-4079,0.822

61,-3194,0.823

62,2340,0.823

63,3542,0.823

64,6072,0.824

65,-2751,0.824

66,126,0.825

67,1391,0.825

68,4743,0.826

69,-4649,0.826

70,5344,0.826

71,1518,0.827

72,-7495,0.827

73,-949,0.828

74,-1455,0.828

75,1012,0.829

76,1391,0.829

77,-3257,0.830

78,4617,0.830

79,190,0.830

80,-1518,0.831

81,1423,0.831

82,791,0.832

83,-379,0.832

84,-379,0.833

85,-6799,0.833

86,4332,0.833

87,2720,0.834

88,-4743,0.834

89,-316,0.835

90,1455,0.835

91,443,0.836

92,1455,0.836

93,-3320,0.836

94,63,0.837

95,-4680,0.837

96,-2561,0.838

97,-6641,0.838

98,-885,0.839

99,-32,0.839

100,-3067,0.839

