Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,-1233,0.729

2,3763,0.729

3,1613,0.730

4,885,0.730

5,-696,0.731

6,221,0.731

7,5186,0.732

8,-3858,0.732

9,6072,0.733

10,-1581,0.733

11,2245,0.734

12,-5692,0.734

13,1518,0.735

14,10088,0.735

15,-3984,0.736

16,4838,0.736

17,-2783,0.737

18,-1297,0.737

19,1929,0.738

20,-1486,0.738

21,4933,0.739

22,-1834,0.739

23,4838,0.740

24,2688,0.740

25,2119,0.741

26,-1170,0.741

27,2055,0.742

28,95,0.742

29,8159,0.743

30,-4206,0.743

31,348,0.744

32,-5060,0.744

33,3099,0.745

34,-3352,0.745

35,6483,0.746

36,-3605,0.746

37,-1866,0.747

38,2055,0.747

39,221,0.748

40,6166,0.748

41,3320,0.749

42,-8095,0.749

43,285,0.750

44,-2593,0.750

45,506,0.751

46,506,0.752

47,-1202,0.752

48,791,0.753

49,-1644,0.753

50,1897,0.754

51,-917,0.754

52,6609,0.755

53,316,0.755

54,6736,0.756

55,-664,0.756

56,-1644,0.757

57,-2941,0.757

58,2150,0.758

59,-4237,0.758

60,2150,0.759

61,-3162,0.759

62,-3573,0.760

63,3953,0.760

64,-4490,0.761

65,506,0.761

66,506,0.762

67,-4490,0.762

68,63,0.763

69,-126,0.763

70,190,0.764

71,285,0.764

72,1771,0.765

73,-1644,0.765

74,3257,0.766

75,2909,0.766

76,-2150,0.767

77,1423,0.767

78,-3067,0.768

79,-3131,0.768

80,-632,0.769

81,-2372,0.769

82,2403,0.770

83,-158,0.770

84,-3194,0.771

85,-3479,0.771

86,-3162,0.772

87,2055,0.772

88,-3921,0.773

89,4712,0.773

90,1391,0.774

91,-2403,0.774

92,0,0.775

93,-4743,0.775

94,3605,0.776

95,4585,0.777

96,32,0.777

97,822,0.778

98,-4396,0.778

99,-3921,0.779

100,3226,0.779

101,569,0.780

102,4680,0.780

103,1802,0.781

104,-6957,0.781

105,1581,0.782

106,1676,0.782

107,2308,0.783

108,-3858,0.783

109,2087,0.784

110,2467,0.784

111,-6831,0.785

112,-2814,0.785

113,-3320,0.786

114,-5597,0.786

115,1202,0.787

116,3320,0.787

117,4902,0.788

118,-5249,0.788

119,4522,0.789

120,2150,0.789

121,2119,0.790

122,980,0.790

123,1455,0.791

124,-5629,0.791

125,3479,0.792

126,-3162,0.792

127,-5218,0.793

128,4554,0.793

129,-3162,0.794

130,3036,0.794

131,-4332,0.795

132,1581,0.795

133,-221,0.796

134,2467,0.796

135,316,0.797

136,-1138,0.797

137,1012,0.798

138,3320,0.798

139,-2467,0.799

140,3384,0.799

141,5344,0.800

