Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,1923,0.875

2,1730,0.875

3,2729,0.875

4,2441,0.875

5,2448,0.875

6,2792,0.875

7,2286,0.875

8,2002,0.875

9,1882,0.875

10,1648,0.875

11,1679,0.875

12,1784,0.875

13,1708,0.875

14,1742,0.875

15,1932,0.875

16,2147,0.875

17,2678,0.875

18,1935,0.875

19,2074,0.875

20,1926,0.875

21,2912,0.875

22,2267,0.875

23,2479,0.875

24,3020,0.875

25,1825,0.875

26,2027,0.875

27,2296,0.875

28,1872,0.875

29,1859,0.875

30,1632,0.875

31,1986,0.875

32,1815,0.875

33,2135,0.875

34,2353,0.875

35,2770,0.875

36,1945,0.875

37,2318,0.875

38,1825,0.875

39,1508,0.875

40,1673,0.875

41,1708,0.875

42,1685,0.875

43,2236,0.875

44,2119,0.875

45,1904,0.875

46,2176,0.875

47,2024,0.875

48,2062,0.875

49,1834,0.875

50,1670,0.875

51,1537,0.875

52,1689,0.875

53,1401,0.875

54,2242,0.875

55,2144,0.875

56,1667,0.874

57,1954,0.874

58,2460,0.874

59,2438,0.874

60,2375,0.874

61,2312,0.874

62,2065,0.874

63,1644,0.874

64,1708,0.874

65,1265,0.874

66,1828,0.874

67,2154,0.874

68,2615,0.874

69,1976,0.874

70,1486,0.874

71,2308,0.874

72,1625,0.874

73,1489,0.874

74,2283,0.874

75,2128,0.874

76,2100,0.874

77,2400,0.874

78,2084,0.874

79,1483,0.874

80,1249,0.874

81,1685,0.874

82,1815,0.874

83,2590,0.874

84,2350,0.874

85,2489,0.874

86,1613,0.874

87,1720,0.874

88,2097,0.874

89,2100,0.874

90,2296,0.874

91,2505,0.874

92,1534,0.874

93,1420,0.874

94,2432,0.874

95,2119,0.874

96,2150,0.874

97,2479,0.874

98,1508,0.874

99,1771,0.874

100,1695,0.874

101,1894,0.874

102,2441,0.874

103,2647,0.874

104,1840,0.874

105,1897,0.874

106,1584,0.874

107,1780,0.874

108,1477,0.874

109,2517,0.874

110,2685,0.874

111,2289,0.874

112,1575,0.874

113,1774,0.874

114,1496,0.874

115,1388,0.874

116,1973,0.874

117,2378,0.874

118,1999,0.874

119,2391,0.874

120,2413,0.874

121,2252,0.874

122,2574,0.874

123,2425,0.874

124,1622,0.874

125,2109,0.874

126,1357,0.874

127,1290,0.874

128,1964,0.874

129,1831,0.874

130,1423,0.874

131,3052,0.874

132,2758,0.874

133,1844,0.874

134,2135,0.874

135,1600,0.874

136,1774,0.874

137,1591,0.874

138,1493,0.874

139,2274,0.874

140,2416,0.874

141,2280,0.874

142,2160,0.874

143,1641,0.874

144,1717,0.874

145,1603,0.874

146,1616,0.874

147,1338,0.873

148,1486,0.873

149,2729,0.873

150,2362,0.873

151,2618,0.873

152,2394,0.873

153,2233,0.873

154,2334,0.873

155,1755,0.873

156,1543,0.873

157,2160,0.873

158,1777,0.873

159,1806,0.873

160,1635,0.873

161,2369,0.873

162,2457,0.873

163,2568,0.873

164,2685,0.873

165,2425,0.873

166,2463,0.873

167,1929,0.873

168,2122,0.873

169,2176,0.873

170,1559,0.873

171,1806,0.873

172,1657,0.873

173,1559,0.873

174,1663,0.873

175,1489,0.873

176,2517,0.873

177,2672,0.873

178,2482,0.873

179,2400,0.873

180,2321,0.873

181,1752,0.873

182,1761,0.873

183,1559,0.873

184,1809,0.873

185,2517,0.873

186,2343,0.873

187,2473,0.873

188,1986,0.873

189,1600,0.873

190,1568,0.873

191,1584,0.873

192,1831,0.873

193,2416,0.873

194,2451,0.873

195,2055,0.873

196,2318,0.873

197,1606,0.873

198,1493,0.873

199,1357,0.873

200,1404,0.873

201,1970,0.873

202,1882,0.873

203,1866,0.873

204,2441,0.873

205,2495,0.873

206,2255,0.873

207,2002,0.873

208,1869,0.873

209,1613,0.873

210,1568,0.873

211,1493,0.873

212,1606,0.873

213,1433,0.873

214,1391,0.873

215,2242,0.873

216,2055,0.873

217,2584,0.873

218,2372,0.873

219,2615,0.873

220,2271,0.873

221,1670,0.873

222,1657,0.873

223,1436,0.873

224,1752,0.873

225,1502,0.873

226,1322,0.873

227,2233,0.873

228,2043,0.873

229,2454,0.873

230,2289,0.873

231,2065,0.873

232,1474,0.873

233,1765,0.873

234,1306,0.873

235,1723,0.873

236,1986,0.873

237,2400,0.873

238,1967,0.872

239,1622,0.872

240,1543,0.872

241,1802,0.872

242,1331,0.872

243,1407,0.872

244,2391,0.872

245,2258,0.872

246,1613,0.872

247,1584,0.872

248,1654,0.872

249,2906,0.872

250,2084,0.872

251,1638,0.872

252,1303,0.872

253,1414,0.872

254,2350,0.872

255,2261,0.872

256,2078,0.872

257,1629,0.872

258,1600,0.872

259,1426,0.872

260,1265,0.872

261,2384,0.872

262,2634,0.872

263,2315,0.872

264,1587,0.872

265,1477,0.872

266,1888,0.872

267,1961,0.872

268,2078,0.872

269,1901,0.872

270,2641,0.872

271,2432,0.872

272,2229,0.872

273,1894,0.872

274,2182,0.872

275,2052,0.872

276,1455,0.872

277,1777,0.872

278,1812,0.872

279,1768,0.872

280,2103,0.872

281,2087,0.872

282,1840,0.872

283,2486,0.872

284,2331,0.872

285,2027,0.872

286,1651,0.872

287,1094,0.872

288,1240,0.872

289,2356,0.872

290,2116,0.872

291,2359,0.872

292,2011,0.872

293,1825,0.872

294,1632,0.872

295,1319,0.872

296,1243,0.872

297,1129,0.872

298,1508,0.872

299,1221,0.872

300,2195,0.872

301,2147,0.872

302,2128,0.872

303,2482,0.872

304,2384,0.872

305,2125,0.872

306,2334,0.872

307,2005,0.872

308,1932,0.872

309,1610,0.872

310,1537,0.872

311,1591,0.872

312,1334,0.872

313,1031,0.872

314,1938,0.872

315,1831,0.872

316,1888,0.872

317,1967,0.872

318,2286,0.872

319,1923,0.872

320,1812,0.872

321,1648,0.872

322,2457,0.872

323,2432,0.872

324,2027,0.872

325,2400,0.872

326,2169,0.872

327,1594,0.872

328,1328,0.872

329,1531,0.871

330,1704,0.871

331,1274,0.871

