Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,1426,1.009

2,1126,1.009

3,1255,1.009

4,851,1.009

5,1572,1.009

6,1344,1.009

7,936,1.009

8,847,1.009

9,854,1.009

10,1100,1.009

11,1907,1.009

12,1499,1.009

13,753,1.009

14,870,1.009

15,1885,1.009

16,1176,1.009

17,844,1.009

18,1100,1.009

19,1610,1.009

20,740,1.009

21,1486,1.009

22,1780,1.009

23,1012,1.009

24,914,1.009

25,1752,1.009

26,2087,1.009

27,1287,1.009

28,756,1.009

29,1325,1.009

30,1758,1.009

31,1151,1.009

32,1217,1.009

33,1461,1.009

34,1610,1.009

35,1376,1.009

36,1028,1.009

37,1774,1.009

38,1293,1.009

39,1173,1.009

40,1037,1.009

41,1543,1.009

42,1293,1.009

43,1012,1.009

44,1619,1.009

45,1429,1.009

46,1097,1.009

47,1319,1.009

48,1433,1.009

49,1537,1.009

50,1388,1.009

51,974,1.009

52,1009,1.009

53,1812,1.009

54,1293,1.009

55,626,1.009

56,835,1.009

57,1929,1.009

58,1088,1.009

59,1259,1.009

60,642,1.009

61,1145,1.009

62,772,1.009

63,484,1.009

64,1334,1.009

65,1698,1.009

66,696,1.009

67,1123,1.009

68,1641,1.009

69,560,1.009

70,825,1.009

71,1227,1.009

72,696,1.009

73,838,1.009

74,1104,1.009

75,1078,1.009

76,718,1.009

77,784,1.009

78,1565,1.009

79,620,1.009

80,838,1.009

81,1410,1.009

82,1116,1.009

83,674,1.009

84,1173,1.009

85,1075,1.009

86,1063,1.009

87,1167,1.009

88,1063,1.009

89,1366,1.009

90,756,1.009

91,942,1.009

92,1338,1.009

93,1236,1.009

94,1689,1.009

95,759,1.009

96,917,1.009

97,1202,1.009

98,1625,1.009

99,1217,1.009

100,813,1.009

101,1236,1.009

102,1186,1.009

103,730,1.009

104,791,1.009

105,1202,1.009

106,1455,1.009

107,800,1.009

108,917,1.009

109,1423,1.009

110,1366,1.009

111,1527,1.009

112,778,1.009

113,1047,1.009

114,1202,1.009

115,1214,1.009

116,629,1.009

117,670,1.009

118,1708,1.009

119,1053,1.009

120,1157,1.009

121,629,1.009

122,961,1.009

123,1059,1.009

124,623,1.009

125,889,1.009

126,794,1.009

127,1151,1.009

128,1306,1.009

129,617,1.009

130,819,1.009

131,1281,1.009

132,1442,1.009

133,1464,1.009

134,977,1.009

135,851,1.009

136,661,1.009

137,1233,1.009

138,1091,1.009

139,1072,1.009

140,1135,1.009

141,1271,1.009

142,1240,1.009

143,1129,1.009

144,756,1.009

145,819,1.009

146,1638,1.009

147,598,1.009

148,1366,1.009

149,1508,1.009

150,610,1.009

151,1233,1.009

152,1458,1.009

153,1426,1.009

154,835,1.009

155,1568,1.009

156,1606,1.009

157,1619,1.009

158,1350,1.009

159,854,1.009

160,648,1.009

161,1189,1.009

162,1733,1.009

163,1050,1.009

164,1021,1.009

165,1429,1.009

166,1195,1.009

167,1458,1.009

168,1670,1.009

169,844,1.009

170,930,1.009

171,1395,1.009

172,1104,1.009

173,1138,1.009

174,693,1.009

175,911,1.009

176,1856,1.009

177,1467,1.009

178,1290,1.009

179,829,1.009

180,1157,1.009

181,1085,1.009

182,1145,1.009

183,620,1.009

184,674,1.009

185,1410,1.009

186,1053,1.009

187,743,1.009

188,829,1.009

189,1685,1.009

190,1316,1.009

191,645,1.009

192,983,1.009

193,1395,1.009

194,1214,1.009

195,1154,1.009

196,765,1.009

197,1053,1.009

198,1385,1.009

199,1224,1.009

200,1268,1.008

201,642,1.008

202,1075,1.008

203,1882,1.008

204,1132,1.008

205,746,1.008

206,683,1.008

207,1129,1.008

208,1742,1.008

209,1230,1.008

210,1464,1.008

211,1369,1.008

212,762,1.008

213,1366,1.008

214,1837,1.008

215,942,1.008

216,879,1.008

217,1252,1.008

218,1369,1.008

219,1246,1.008

220,781,1.008

221,961,1.008

222,1066,1.008

223,1433,1.008

224,775,1.008

225,753,1.008

226,1382,1.008

227,1695,1.008

228,1142,1.008

229,898,1.008

230,1461,1.008

231,1844,1.008

232,724,1.008

233,765,1.008

234,794,1.008

235,1385,1.008

236,1613,1.008

237,1278,1.008

238,1053,1.008

239,702,1.008

240,933,1.008

241,1243,1.008

242,1689,1.008

243,1692,1.008

244,816,1.008

245,784,1.008

246,1385,1.008

247,1401,1.008

248,1515,1.008

249,971,1.008

250,1252,1.008

251,696,1.008

252,1278,1.008

253,1464,1.008

254,879,1.008

255,879,1.008

256,1455,1.008

257,1736,1.008

258,1429,1.008

259,806,1.008

260,772,1.008

261,1376,1.008

262,914,1.008

263,955,1.008

264,1537,1.008

265,822,1.008

266,847,1.008

267,1214,1.008

268,1072,1.008

269,876,1.008

270,1006,1.008

271,689,1.008

272,1613,1.008

273,958,1.008

274,832,1.008

275,651,1.008

276,1189,1.008

277,1961,1.008

278,765,1.008

279,538,1.008

280,1199,1.008

281,1211,1.008

282,1730,1.008

283,993,1.008

284,737,1.008

285,1420,1.008

286,1316,1.008

287,1543,1.008

288,980,1.008

289,819,1.008

290,879,1.008

291,1205,1.008

292,1629,1.008

293,1107,1.008

294,1610,1.008

295,1138,1.008

296,519,1.008

297,680,1.008

298,1692,1.008

299,996,1.008

300,544,1.008

301,784,1.008

302,977,1.008

303,1524,1.008

304,1006,1.008

305,705,1.008

306,677,1.008

307,1616,1.008

308,1094,1.008

309,743,1.008

310,1214,1.008

311,990,1.008

312,1404,1.008

313,1989,1.008

314,547,1.008

315,756,1.008

316,1433,1.008

317,1635,1.008

318,1227,1.008

319,961,1.008

320,854,1.008

321,1097,1.008

322,1613,1.008

323,1629,1.008

324,1094,1.008

325,730,1.008

326,1420,1.008

327,1945,1.008

328,1066,1.008

329,968,1.008

330,471,1.008

331,977,1.008

332,1761,1.008

333,993,1.008

334,712,1.008

335,1107,1.008

336,1401,1.008

337,1442,1.008

338,1104,1.008

339,560,1.008

340,990,1.008

341,1436,1.008

342,1002,1.008

343,974,1.008

344,1426,1.008

345,1290,1.008

346,964,1.008

347,544,1.008

348,866,1.008

349,2144,1.008

350,961,1.008

351,1338,1.008

352,405,1.008

353,1388,1.008

354,1325,1.008

355,1021,1.008

356,889,1.008

357,1461,1.008

358,2144,1.008

359,939,1.008

360,990,1.008

361,1451,1.008

362,2043,1.008

363,939,1.008

364,838,1.008

365,1199,1.008

366,1635,1.008

367,1603,1.008

368,1423,1.008

369,787,1.008

370,478,1.008

371,1113,1.008

372,1723,1.008

373,961,1.008

374,557,1.008

375,642,1.008

376,983,1.008

377,1768,1.008

378,756,1.008

379,765,1.008

380,1085,1.008

381,1638,1.008

382,1309,1.008

383,740,1.008

384,803,1.008

385,1641,1.008

386,1009,1.008

387,712,1.008

388,1113,1.008

389,964,1.008

390,468,1.008

391,664,1.008

392,1214,1.008

393,749,1.008

394,1195,1.008

395,1221,1.008

396,538,1.008

397,1192,1.008

398,1980,1.008

399,525,1.008

400,721,1.008

401,1395,1.008

402,1540,1.008

403,1110,1.008

404,677,1.008

405,1616,1.008

406,927,1.008

407,1240,1.008

408,1221,1.008

409,974,1.008

410,724,1.008

411,987,1.008

412,1708,1.008

413,964,1.008

414,519,1.008

415,1401,1.008

416,1423,1.008

417,1006,1.008

418,1202,1.008

419,1110,1.008

420,1714,1.008

421,968,1.008

422,534,1.008

423,1287,1.008

424,1009,1.008

425,1410,1.008

426,1540,1.008

427,1138,1.008

428,534,1.008

429,759,1.008

430,1417,1.008

431,1708,1.008

432,563,1.008

433,1293,1.008

434,1094,1.008

435,1568,1.008

436,1673,1.008

437,847,1.008

438,525,1.008

439,983,1.008

440,1727,1.008

441,1278,1.008

442,977,1.008

443,743,1.008

444,1426,1.008

445,1727,1.008

446,971,1.008

447,993,1.008

448,576,1.008

449,990,1.008

450,1714,1.008

451,961,1.008

452,724,1.008

453,1410,1.008

454,1746,1.008

455,832,1.008

456,664,1.008

457,1622,1.008

458,1006,1.008

459,746,1.008

460,1214,1.008

461,1600,1.008

462,1129,1.008

463,522,1.007

464,1281,1.007

465,455,1.007

466,778,1.007

467,898,1.007

468,1376,1.007

469,971,1.007

470,272,1.007

471,1202,1.007

472,1711,1.007

473,1360,1.007

474,762,1.007

475,712,1.007

476,1319,1.007

477,1654,1.007

478,1407,1.007

479,1372,1.007

480,708,1.007

481,1537,1.007

482,1730,1.007

483,983,1.007

484,1113,1.007

485,1622,1.007

486,961,1.007

487,651,1.007

488,983,1.007

489,1727,1.007

490,1746,1.007

491,1483,1.007

492,522,1.007

493,1167,1.007

494,1306,1.007

495,1047,1.007

496,642,1.007

497,1116,1.007

498,791,1.007

499,743,1.007

500,996,1.007

501,1306,1.007

502,911,1.007

503,816,1.007

504,958,1.007

505,866,1.007

506,1208,1.007

507,1603,1.007

508,1961,1.007

509,737,1.007

510,702,1.007

511,1110,1.007

512,743,1.007

513,908,1.007

514,1202,1.007

515,547,1.007

516,1192,1.007

517,1758,1.007

518,756,1.007

519,762,1.007

520,911,1.007

521,1410,1.007

522,749,1.007

