Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
2,73,0.487

3,41,0.487

4,240,0.488

5,117,0.488

6,19,0.489

7,-145,0.489

8,-89,0.489

9,139,0.490

10,231,0.490

11,949,0.490

12,-164,0.491

13,-506,0.491

14,595,0.492

15,468,0.492

16,95,0.492

17,196,0.493

18,-534,0.493

19,104,0.494

20,117,0.494

21,335,0.494

22,272,0.495

23,-392,0.495

24,231,0.495

25,190,0.496

26,38,0.496

27,-364,0.497

28,54,0.497

29,768,0.497

30,28,0.498

31,-329,0.498

32,297,0.498

33,240,0.499

34,155,0.499

35,-187,0.500

36,-269,0.500

37,16,0.500

38,465,0.501

39,6,0.501

40,-275,0.501

41,133,0.502

42,-66,0.502

43,199,0.503

44,-626,0.503

45,-702,0.503

46,740,0.504

47,-139,0.504

48,-281,0.504

49,-177,0.505

50,449,0.505

51,-38,0.506

52,-522,0.506

53,278,0.506

54,-465,0.507

55,161,0.507

56,398,0.508

57,-724,0.508

58,57,0.508

59,196,0.509

60,-54,0.509

61,-367,0.509

62,120,0.510

63,130,0.510

64,9,0.511

65,-272,0.511

66,-478,0.511

67,218,0.512

68,607,0.512

69,-209,0.512

70,-41,0.513

71,-522,0.513

72,82,0.514

73,9,0.514

74,-272,0.514

75,142,0.515

76,130,0.515

77,190,0.515

78,-648,0.516

79,-307,0.516

80,955,0.517

81,-240,0.517

82,-645,0.517

83,278,0.518

84,180,0.518

85,-528,0.518

86,25,0.519

87,215,0.519

88,743,0.520

89,-259,0.520

90,-879,0.520

91,60,0.521

92,414,0.521

93,6,0.521

94,-35,0.522

95,-275,0.522

96,-35,0.523

97,89,0.523

98,212,0.523

99,-430,0.524

100,-971,0.524

101,481,0.525

102,164,0.525

103,51,0.525

104,-496,0.526

105,133,0.526

106,307,0.526

107,-379,0.527

108,133,0.527

109,500,0.528

110,-28,0.528

111,-209,0.528

112,-266,0.529

113,715,0.529

114,-247,0.529

115,133,0.530

116,-25,0.530

117,-253,0.531

118,-22,0.531

119,174,0.531

120,-430,0.532

121,136,0.532

122,512,0.532

123,-648,0.533

124,139,0.533

125,237,0.534

126,120,0.534

127,-478,0.534

128,28,0.535

129,677,0.535

130,206,0.535

131,-629,0.536

132,-310,0.536

133,493,0.537

134,149,0.537

135,-187,0.537

136,54,0.538

137,-41,0.538

138,28,0.539

139,-455,0.539

140,313,0.539

141,-22,0.540

142,183,0.540

143,506,0.540

144,237,0.541

145,-313,0.541

146,-376,0.542

147,-259,0.542

148,126,0.542

149,193,0.543

150,-28,0.543

151,376,0.543

152,120,0.544

153,-218,0.544

154,-449,0.545

155,569,0.545

156,180,0.545

157,-177,0.546

158,-104,0.546

159,89,0.546

160,-51,0.547

161,-598,0.547

162,300,0.548

163,123,0.548

164,-677,0.548

165,51,0.549

166,145,0.549

167,63,0.549

168,-689,0.550

169,-199,0.550

170,607,0.551

171,-730,0.551

172,-28,0.551

173,104,0.552

174,503,0.552

175,-481,0.553

176,503,0.553

177,-342,0.553

178,-183,0.554

179,550,0.554

180,459,0.554

181,-721,0.555

182,142,0.555

183,414,0.556

184,-414,0.556

185,-180,0.556

186,155,0.557

187,22,0.557

188,-183,0.557

189,130,0.558

190,25,0.558

191,-256,0.559

192,114,0.559

193,-373,0.559

194,-133,0.560

195,528,0.560

196,-9,0.560

197,-762,0.561

198,484,0.561

199,190,0.562

200,-126,0.562

201,237,0.562

202,41,0.563

203,-275,0.563

204,22,0.563

205,-345,0.564

206,-114,0.564

207,225,0.565

208,63,0.565

209,-503,0.565

210,724,0.566

211,-243,0.566

212,503,0.566

213,51,0.567

214,-414,0.567

215,190,0.568

216,-364,0.568

217,661,0.568

218,155,0.569

219,-402,0.569

220,607,0.570

221,-231,0.570

222,-41,0.570

223,525,0.571

224,-370,0.571

225,133,0.571

226,25,0.572

227,108,0.572

228,-16,0.573

229,57,0.573

230,512,0.573

231,-28,0.574

232,-285,0.574

233,-28,0.574

234,-405,0.575

235,367,0.575

236,19,0.576

237,-424,0.576

238,196,0.576

239,-753,0.577

240,-288,0.577

241,715,0.577

242,-307,0.578

243,-323,0.578

244,202,0.579

245,-51,0.579

246,-405,0.579

247,465,0.580

248,-291,0.580

249,60,0.580

250,180,0.581

251,41,0.581

252,-136,0.582

253,155,0.582

254,-177,0.582

255,-177,0.583

256,117,0.583

257,28,0.584

258,-16,0.584

259,149,0.584

260,-746,0.585

261,111,0.585

262,411,0.585

263,-22,0.586

264,-275,0.586

265,225,0.587

266,398,0.587

267,-376,0.587

268,117,0.588

269,756,0.588

270,-206,0.588

271,-424,0.589

272,765,0.589

273,-41,0.590

274,-436,0.590

275,512,0.590

276,-28,0.591

277,-266,0.591

278,123,0.591

279,408,0.592

280,-259,0.592

281,139,0.593

282,-57,0.593

283,-291,0.593

284,73,0.594

285,174,0.594

286,-187,0.594

287,-177,0.595

288,202,0.595

289,-139,0.596

290,-262,0.596

291,85,0.596

292,6,0.597

293,-275,0.597

294,304,0.597

295,149,0.598

296,-487,0.598

297,-177,0.599

298,202,0.599

299,-171,0.599

300,19,0.600

301,-237,0.600

302,-22,0.601

303,193,0.601

304,-462,0.601

305,247,0.602

306,632,0.602

307,-481,0.602

308,225,0.603

309,-240,0.603

310,41,0.604

311,427,0.604

312,-762,0.604

313,-22,0.605

314,38,0.605

315,123,0.605

316,209,0.606

317,-297,0.606

318,-164,0.607

319,446,0.607

320,-225,0.607

321,120,0.608

322,462,0.608

323,-493,0.608

324,79,0.609

325,206,0.609

326,57,0.610

327,202,0.610

328,-961,0.610

329,509,0.611

330,-632,0.611

331,-187,0.611

332,-304,0.612

333,-674,0.612

334,595,0.613

335,-493,0.613

336,357,0.613

337,111,0.614

338,-696,0.614

339,149,0.615

340,933,0.615

341,-259,0.615

342,512,0.616

343,-629,0.616

344,-25,0.616

345,41,0.617

346,-500,0.617

347,449,0.618

348,-44,0.618

349,199,0.618

350,-307,0.619

351,613,0.619

352,66,0.619

353,-13,0.620

354,187,0.620

355,-304,0.621

356,613,0.621

357,-743,0.621

358,98,0.622

359,-433,0.622

360,623,0.622

361,-183,0.623

362,604,0.623

363,-389,0.624

364,496,0.624

365,-585,0.624

366,152,0.625

367,32,0.625

368,123,0.625

369,-259,0.626

370,-22,0.626

371,383,0.627

372,-490,0.627

373,629,0.627

374,25,0.628

375,569,0.628

376,202,0.629

377,-506,0.629

378,120,0.629

379,-433,0.630

380,512,0.630

381,202,0.630

382,-648,0.631

383,209,0.631

384,66,0.632

385,496,0.632

386,-32,0.632

387,-693,0.633

388,278,0.633

389,-234,0.633

390,462,0.634

391,-364,0.634

392,329,0.635

393,-639,0.635

394,231,0.635

395,-187,0.636

396,247,0.636

397,-171,0.636

398,-209,0.637

399,240,0.637

400,126,0.638

401,28,0.638

402,288,0.638

403,221,0.639

404,-237,0.639

405,54,0.639

406,465,0.640

407,-164,0.640

408,620,0.641

409,22,0.641

410,-180,0.641

411,664,0.642

412,-120,0.642

413,51,0.642

414,111,0.643

415,155,0.643

416,-171,0.644

417,557,0.644

418,-620,0.644

419,212,0.645

420,28,0.645

421,-174,0.646

422,338,0.646

423,-44,0.646

424,-120,0.647

425,114,0.647

426,-326,0.647

427,-471,0.648

428,509,0.648

429,22,0.649

430,231,0.649

431,16,0.649

432,111,0.650

433,174,0.650

434,-335,0.650

435,114,0.651

436,-345,0.651

437,272,0.652

438,-41,0.652

439,-462,0.652

440,595,0.653

441,-335,0.653

442,117,0.653

443,345,0.654

444,291,0.654

445,-269,0.655

446,139,0.655

447,174,0.655

448,-300,0.656

449,379,0.656

450,-342,0.656

451,-503,0.657

452,588,0.657

453,60,0.658

454,-332,0.658

455,-54,0.658

456,180,0.659

457,-35,0.659

458,164,0.660

459,-762,0.660

460,-76,0.660

461,746,0.661

462,-446,0.661

463,-171,0.661

464,89,0.662

465,-357,0.662

466,266,0.663

467,-32,0.663

468,-51,0.663

469,-490,0.664

470,496,0.664

471,196,0.664

472,-335,0.665

473,-506,0.665

474,455,0.666

475,-57,0.666

476,-35,0.666

477,-405,0.667

478,304,0.667

479,114,0.667

480,-281,0.668

481,-560,0.668

482,250,0.669

483,-28,0.669

484,-243,0.669

485,-281,0.670

486,519,0.670

487,-379,0.670

488,-446,0.671

489,212,0.671

490,-291,0.672

491,199,0.672

492,-250,0.672

493,228,0.673

494,9,0.673

495,-696,0.674

496,275,0.674

497,9,0.674

498,-496,0.675

499,95,0.675

500,54,0.675

501,-275,0.676

502,446,0.676

503,-206,0.677

504,496,0.677

505,440,0.677

506,-515,0.678

507,323,0.678

508,-44,0.678

509,297,0.679

510,-38,0.679

511,-126,0.680

512,54,0.680

513,288,0.680

514,-209,0.681

515,522,0.681

516,266,0.681

517,-740,0.682

518,291,0.682

519,123,0.683

520,-300,0.683

521,332,0.683

522,117,0.684

523,-348,0.684

524,496,0.684

525,-13,0.685

526,-689,0.685

