Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,149,0.464

2,108,0.465

3,-496,0.465

4,-870,0.465

5,506,0.466

6,-190,0.466

7,168,0.467

8,-329,0.467

9,-275,0.467

10,16,0.468

11,-762,0.468

12,142,0.468

13,272,0.469

14,481,0.469

15,247,0.469

16,70,0.470

17,-212,0.470

18,-281,0.470

19,474,0.471

20,449,0.471

21,183,0.472

22,-32,0.472

23,183,0.472

24,-462,0.473

25,120,0.473

26,281,0.473

27,247,0.474

28,500,0.474

29,389,0.474

30,-206,0.475

31,-478,0.475

32,-670,0.475

33,-379,0.476

34,300,0.476

35,266,0.477

36,506,0.477

37,459,0.477

38,427,0.478

39,180,0.478

40,272,0.478

41,44,0.479

42,-468,0.479

43,-247,0.479

44,-288,0.480

45,-256,0.480

46,398,0.480

47,452,0.481

48,19,0.481

49,-759,0.482

50,-199,0.482

51,-373,0.482

52,-266,0.483

53,225,0.483

54,607,0.483

55,519,0.484

56,234,0.484

57,-335,0.484

58,-525,0.485

59,114,0.485

60,-206,0.486

61,117,0.486

62,512,0.486

63,247,0.487

64,136,0.487

65,525,0.487

66,183,0.488

67,-60,0.488

68,193,0.488

69,-51,0.489

70,-446,0.489

71,108,0.489

72,332,0.490

73,316,0.490

74,149,0.491

75,297,0.491

76,-28,0.491

77,-613,0.492

78,-243,0.492

79,-376,0.492

80,-152,0.493

81,300,0.493

82,149,0.493

83,114,0.494

84,560,0.494

85,-51,0.494

86,38,0.495

87,-683,0.495

88,237,0.496

89,215,0.496

90,515,0.496

91,522,0.497

92,190,0.497

93,19,0.497

94,-136,0.498

95,-272,0.498

96,-496,0.498

97,-225,0.499

98,-278,0.499

99,76,0.499

100,474,0.500

101,-262,0.500

102,-595,0.501

103,101,0.501

104,142,0.501

105,92,0.502

106,370,0.502

107,664,0.502

108,617,0.503

109,-32,0.503

110,-225,0.503

111,-247,0.504

112,-240,0.504

113,-541,0.504

114,-506,0.505

115,-664,0.505

116,300,0.506

117,329,0.506

118,95,0.506

119,47,0.507

120,114,0.507

121,613,0.507

122,474,0.508

123,54,0.508

124,-636,0.508

125,-778,0.509

126,-405,0.509

