Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
3,7937,0.824

4,3257,0.824

5,980,0.824

6,-32,0.825

7,8823,0.825

8,-1391,0.825

9,-2150,0.826

10,-2625,0.826

11,9708,0.826

12,-2055,0.827

13,-3099,0.827

14,-1044,0.827

15,1708,0.828

16,1423,0.828

17,-6040,0.828

18,-1929,0.829

19,5091,0.829

20,-1328,0.829

21,-2372,0.830

22,3890,0.830

23,-253,0.831

24,-3131,0.831

25,-1328,0.831

26,1518,0.832

27,4838,0.832

28,-2403,0.832

29,-3036,0.833

30,-379,0.833

31,4396,0.833

32,4965,0.834

33,-2435,0.834

34,-6198,0.834

35,-601,0.835

36,9044,0.835

37,-2435,0.835

38,63,0.836

39,-126,0.836

40,3510,0.837

41,4680,0.837

42,95,0.837

43,-253,0.838

44,-1771,0.838

45,-1328,0.838

46,1834,0.839

47,5249,0.839

48,2214,0.839

49,2688,0.840

50,-2119,0.840

51,-696,0.840

52,95,0.841

53,4269,0.841

54,3953,0.841

55,-2245,0.842

56,-6451,0.842

57,-538,0.842

58,-1391,0.843

59,2751,0.843

60,-1992,0.844

61,32,0.844

62,917,0.844

63,3131,0.845

64,2245,0.845

65,-3099,0.845

66,-1044,0.846

67,2024,0.846

68,4143,0.846

69,4680,0.847

70,5313,0.847

71,-5249,0.847

72,-5692,0.848

73,-1233,0.848

74,-126,0.848

75,1929,0.849

76,917,0.849

77,-6925,0.850

78,-4775,0.850

79,-5091,0.850

80,-1771,0.851

81,-1265,0.851

82,4396,0.851

83,3289,0.852

84,-1486,0.852

85,-1929,0.852

86,-9550,0.853

87,-8127,0.853

88,-3036,0.853

89,4237,0.854

90,2403,0.854

91,32,0.854

92,-8032,0.855

93,-9234,0.855

94,-1802,0.855

95,3194,0.856

96,1391,0.856

97,1992,0.857

98,1012,0.857

99,-2087,0.857

100,-6957,0.858

101,-4269,0.858

102,-1265,0.858

103,2182,0.859

104,-2625,0.859

105,-4743,0.859

106,-4269,0.860

107,190,0.860

108,-4807,0.860

109,-4775,0.861

110,-5502,0.861

111,-1550,0.861

112,1233,0.862

113,-2593,0.862

114,-4269,0.863

115,-4585,0.863

116,-7842,0.863

117,-221,0.864

118,285,0.864

119,3162,0.864

120,-1739,0.865

121,-8064,0.865

122,-4617,0.865

123,759,0.866

124,2878,0.866

125,63,0.866

126,-6989,0.867

127,-1739,0.867

128,4269,0.867

129,2909,0.868

130,-1961,0.868

131,-3257,0.868

132,2372,0.869

133,5945,0.869

134,5755,0.870

135,3826,0.870

136,-5945,0.870

137,-474,0.871

138,4174,0.871

139,9835,0.871

140,2688,0.872

141,-2308,0.872

142,-4775,0.872

143,3921,0.873

144,2372,0.873

145,6609,0.873

146,538,0.874

147,-1834,0.874

148,5376,0.874

149,-1897,0.875

150,-4743,0.875

151,-1044,0.876

152,2150,0.876

153,5439,0.876

154,-1802,0.877

155,-3890,0.877

156,6641,0.877

157,5882,0.878

158,3067,0.878

159,-2277,0.878

160,2119,0.879

161,-8285,0.879

162,980,0.879

163,5091,0.880

164,-3826,0.880

165,980,0.880

166,-95,0.881

167,-1961,0.881

168,-2593,0.881

169,-759,0.882

170,158,0.882

171,5376,0.883

172,-6767,0.883

173,-1644,0.883

174,1138,0.884

175,-411,0.884

176,-2182,0.884

177,-1075,0.885

178,6419,0.885

179,2846,0.885

180,-1202,0.886

181,-2530,0.886

182,6672,0.886

183,2561,0.887

184,-2087,0.887

185,-2403,0.887

186,-5155,0.888

187,-2688,0.888

188,2214,0.889

189,2308,0.889

190,885,0.889

191,3384,0.890

192,2277,0.890

193,1613,0.890

194,-2498,0.891

195,4332,0.891

196,4111,0.891

197,7748,0.892

198,-6862,0.892

199,-4712,0.892

200,727,0.893

201,3004,0.893

202,4902,0.893

203,4269,0.894

204,-4743,0.894

205,-3131,0.894

206,2087,0.895

207,-569,0.895

208,-4143,0.896

209,-1265,0.896

210,-6862,0.896

211,2055,0.897

212,6293,0.897

213,-2150,0.897

214,-4649,0.898

215,-32,0.898

216,3067,0.898

217,4933,0.899

218,-6862,0.899

219,-5344,0.899

220,-379,0.900

221,6388,0.900

222,4174,0.900

223,1676,0.901

224,32,0.901

225,-5376,0.902

226,-4838,0.902

227,-1518,0.902

228,-2372,0.903

229,1455,0.903

230,-664,0.903

231,-6546,0.904

232,-5629,0.904

233,2372,0.904

234,822,0.905

235,3036,0.905

236,221,0.905

237,-9424,0.906

238,-2656,0.906

239,-1708,0.906

240,190,0.907

241,-569,0.907

242,-9012,0.907

243,-4554,0.908

244,-4996,0.908

245,-221,0.909

246,1802,0.909

247,1771,0.909

248,-1929,0.910

249,-5155,0.910

250,727,0.910

251,-95,0.911

252,791,0.911

253,126,0.911

254,-5218,0.912

255,-1771,0.912

256,-3668,0.912

257,5186,0.913

258,7305,0.913

259,2182,0.913

260,-2245,0.914

261,-8981,0.914

262,601,0.915

263,-1550,0.915

264,1012,0.915

265,2688,0.916

266,32,0.916

267,-9044,0.916

268,-1929,0.917

269,-3257,0.917

270,1802,0.917

271,1550,0.918

272,4712,0.918

273,-1961,0.918

274,-2308,0.919

275,-4554,0.919

276,-3320,0.919

277,6135,0.920

278,4902,0.920

279,-1423,0.920

280,-4996,0.921

281,-2688,0.921

282,-1771,0.922

283,1613,0.922

284,1581,0.922

285,2751,0.923

286,3004,0.923

287,1771,0.923

288,-6546,0.924

289,-6957,0.924

290,-4680,0.924

291,-2909,0.925

292,-221,0.925

293,2308,0.925

294,3226,0.926

295,949,0.926

296,-980,0.926

297,-4396,0.927

298,569,0.927

299,4048,0.928

300,5344,0.928

301,3004,0.928

302,1075,0.929

303,0,0.929

304,-2340,0.929

305,3131,0.930

306,-1170,0.930

307,-8127,0.930

308,-4743,0.931

309,-2814,0.931

310,-4775,0.931

311,-6198,0.932

312,2308,0.932

313,-316,0.932

314,1929,0.933

315,1992,0.933

316,9835,0.933

317,-126,0.934

318,-2245,0.934

319,-4712,0.935

320,-2498,0.935

321,-2909,0.935

322,1518,0.936

323,158,0.936

324,4870,0.936

325,4838,0.937

326,-2119,0.937

327,-1360,0.937

328,917,0.938

329,-1834,0.938

330,-4649,0.938

331,-4554,0.939

332,-8791,0.939

333,-2846,0.939

334,-4048,0.940

335,-2909,0.940

336,1802,0.941

337,2277,0.941

338,7748,0.941

339,1550,0.942

340,6135,0.942

341,1423,0.942

342,5376,0.943

343,4522,0.943

344,-4870,0.943

345,-4775,0.944

346,885,0.944

347,9424,0.944

348,5344,0.945

349,538,0.945

350,-2150,0.945

351,-4585,0.946

352,-63,0.946

353,1012,0.946

354,3099,0.947

355,3668,0.947

356,-1866,0.948

357,-822,0.948

358,-3542,0.948

359,2308,0.949

360,5313,0.949

361,2119,0.949

362,5313,0.950

363,7906,0.950

364,5344,0.950

365,3004,0.951

366,1044,0.951

367,3447,0.951

368,-1581,0.952

369,-1961,0.952

370,-4554,0.952

371,2245,0.953

372,4459,0.953

373,1676,0.954

374,2308,0.954

375,4269,0.954

376,2372,0.955

377,5502,0.955

378,1676,0.955

