Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,3479,0.733

2,-4617,0.733

3,-3826,0.734

4,5407,0.734

5,-2403,0.735

6,2720,0.735

7,443,0.736

8,2878,0.736

9,5566,0.737

10,158,0.737

11,2783,0.738

12,-6831,0.738

13,6894,0.739

14,822,0.739

15,-1992,0.740

16,-1897,0.740

17,4522,0.741

18,4902,0.741

19,2720,0.742

20,0,0.742

21,2214,0.743

22,-4332,0.743

23,4965,0.744

24,95,0.744

25,2561,0.745

26,2593,0.745

27,-3384,0.746

28,1423,0.746

29,4522,0.747

30,-1613,0.747

31,-4111,0.748

32,2403,0.749

33,-1455,0.749

34,1581,0.750

35,3226,0.750

36,-4965,0.751

37,1391,0.751

38,-1644,0.752

39,-158,0.752

40,5376,0.753

41,-4237,0.753

42,-1044,0.754

43,-411,0.754

44,-3352,0.755

45,1992,0.755

46,1961,0.756

47,-4427,0.756

48,1233,0.757

49,-1075,0.757

50,-3415,0.758

51,6008,0.758

52,-5123,0.759

53,-538,0.759

54,4143,0.760

55,-2308,0.760

56,1613,0.761

57,3510,0.761

58,-3162,0.762

59,-1012,0.762

60,4775,0.763

61,-2214,0.763

62,3067,0.764

63,-917,0.764

64,-4933,0.765

65,4743,0.765

66,2656,0.766

67,4775,0.766

68,506,0.767

69,-4364,0.767

70,-696,0.768

71,-759,0.768

72,1676,0.769

73,2055,0.769

74,2530,0.770

75,-5850,0.770

76,2245,0.771

77,1739,0.771

78,1107,0.772

79,-2688,0.772

80,3194,0.773

81,-5218,0.774

82,0,0.774

83,3067,0.775

84,-4649,0.775

85,1613,0.776

86,-3194,0.776

87,-3700,0.777

88,632,0.777

89,-3479,0.778

90,2214,0.778

91,-4490,0.779

92,-3921,0.779

93,4554,0.780

94,2150,0.780

95,-4206,0.781

96,3890,0.781

97,3131,0.782

98,-3984,0.782

99,-1423,0.783

100,-2214,0.783

101,-7210,0.784

102,5566,0.784

103,-3731,0.785

104,-2435,0.785

105,3352,0.786

106,2308,0.786

107,1644,0.787

108,-4554,0.787

109,-2372,0.788

110,2119,0.788

111,-7210,0.789

112,-3320,0.789

113,3890,0.790

114,-1866,0.790

115,1455,0.791

116,1518,0.791

117,253,0.792

118,-2340,0.792

119,1423,0.793

120,-379,0.793

121,-1233,0.794

122,4048,0.794

123,3384,0.795

124,2214,0.795

125,-4396,0.796

126,5028,0.796

127,6609,0.797

128,285,0.797

129,-1107,0.798

130,2182,0.798

131,5913,0.799

132,10246,0.800

133,-1486,0.800

134,-2467,0.801

135,7147,0.801

136,2783,0.802

137,3826,0.802

138,885,0.803

139,-2467,0.803

140,2024,0.804

141,4870,0.804

142,6008,0.805

143,-3763,0.805

144,7242,0.806

145,3763,0.806

146,-1233,0.807

147,3700,0.807

148,3890,0.808

149,-32,0.808

150,2119,0.809

151,2467,0.809

152,759,0.810

153,2024,0.810

154,4775,0.811

155,2973,0.811

156,822,0.812

157,-4680,0.812

158,1486,0.813

159,1771,0.813

160,-4079,0.814

161,1550,0.814

162,6451,0.815

163,7210,0.815

164,949,0.816

165,-8760,0.816

166,-1233,0.817

167,885,0.817

168,4617,0.818

169,-5597,0.818

170,-4649,0.819

171,-95,0.819

172,-1107,0.820

173,443,0.820

174,-917,0.821

175,-8823,0.821

176,-2530,0.822

177,-822,0.822

178,-854,0.823

179,-5724,0.823

180,-7621,0.824

181,-3352,0.825

182,1834,0.825

183,4364,0.826

184,-3036,0.826

185,-5344,0.827

186,2182,0.827

187,3162,0.828

188,2277,0.828

189,-3131,0.829

190,126,0.829

191,4617,0.830

192,-3067,0.830

193,-6546,0.831

194,1708,0.831

195,-1866,0.832

196,-3289,0.832

197,-5724,0.833

198,-632,0.833

199,4996,0.834

200,5660,0.834

201,126,0.835

202,-1012,0.835

203,190,0.836

204,1423,0.836

205,4459,0.837

206,-4301,0.837

207,-2372,0.838

208,2941,0.838

209,1423,0.839

210,4269,0.839

211,6989,0.840

212,3257,0.840

213,3162,0.841

214,5913,0.841

215,-4206,0.842

216,-4206,0.842

217,-2245,0.843

218,-664,0.843

219,727,0.844

220,-2498,0.844

221,2214,0.845

222,5597,0.845

223,4585,0.846

224,-2277,0.846

225,95,0.847

226,2372,0.847

227,3067,0.848

228,2878,0.848

229,6578,0.849

230,8095,0.850

231,5977,0.850

232,-1550,0.851

233,-1961,0.851

234,6325,0.852

235,5249,0.852

236,3226,0.853

237,-1265,0.853

238,-1550,0.854

239,-1708,0.854

240,-1518,0.855

241,-1550,0.855

242,0,0.856

243,95,0.856

244,-32,0.857

245,1202,0.857

246,-3131,0.858

247,-3036,0.858

248,-2277,0.859

249,-4301,0.859

250,1676,0.860

251,1518,0.860

252,-32,0.861

253,-727,0.861

254,-664,0.862

255,1802,0.862

256,-2435,0.863

257,-2024,0.863

258,-8127,0.864

259,-9582,0.864

260,-9582,0.865

