Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
3,-70,0.776

4,95,0.776

5,569,0.777

6,199,0.777

7,-19,0.777

8,-142,0.778

9,285,0.778

10,620,0.779

11,253,0.779

12,240,0.779

13,-310,0.780

14,117,0.780

15,591,0.780

16,-196,0.781

17,449,0.781

18,285,0.781

19,702,0.782

20,168,0.782

21,-329,0.783

22,639,0.783

23,114,0.783

24,534,0.784

25,326,0.784

26,-57,0.784

27,-82,0.785

28,402,0.785

29,256,0.785

30,-82,0.786

31,1126,0.786

32,288,0.787

33,149,0.787

34,-70,0.787

35,82,0.788

36,1110,0.788

37,-142,0.788

38,-95,0.789

39,402,0.789

40,541,0.789

41,430,0.790

42,209,0.790

43,-310,0.791

44,566,0.791

45,452,0.791

46,323,0.792

47,338,0.792

48,-386,0.792

49,202,0.793

50,468,0.793

51,768,0.793

52,256,0.794

53,-262,0.794

54,398,0.795

55,427,0.795

56,-522,0.795

57,297,0.796

58,525,0.796

59,519,0.796

60,478,0.797

61,38,0.797

62,534,0.797

63,149,0.798

64,408,0.798

65,-360,0.798

66,569,0.799

67,408,0.799

68,174,0.800

69,-174,0.800

70,-496,0.800

71,1012,0.801

72,171,0.801

73,-408,0.801

74,57,0.802

75,98,0.802

76,294,0.802

77,-250,0.803

78,-291,0.803

79,791,0.804

80,247,0.804

81,-285,0.804

82,262,0.805

83,221,0.805

84,-92,0.805

85,-206,0.806

86,-481,0.806

87,-319,0.806

88,876,0.807

89,22,0.807

90,-60,0.808

91,104,0.808

92,-28,0.808

93,471,0.809

94,379,0.809

95,-259,0.809

96,35,0.810

97,218,0.810

98,183,0.810

99,304,0.811

100,-338,0.811

101,240,0.812

102,367,0.812

103,-123,0.812

104,-297,0.813

105,449,0.813

106,190,0.813

107,-566,0.814

108,234,0.814

109,19,0.814

110,503,0.815

111,-51,0.815

112,-54,0.816

113,202,0.816

114,47,0.816

115,152,0.817

116,-541,0.817

117,323,0.817

118,-569,0.818

119,28,0.818

120,209,0.818

121,98,0.819

122,-259,0.819

123,212,0.819

124,272,0.820

125,89,0.820

126,-550,0.821

127,-329,0.821

128,51,0.821

129,-756,0.822

130,-512,0.822

131,89,0.822

132,19,0.823

133,-547,0.823

134,-13,0.823

135,139,0.824

136,-455,0.824

137,-949,0.825

138,-85,0.825

139,-294,0.825

140,247,0.826

141,-187,0.826

142,-1195,0.826

143,-705,0.827

144,-57,0.827

145,-44,0.827

146,-617,0.828

147,-664,0.828

148,-304,0.829

149,206,0.829

150,-1088,0.829

151,-307,0.830

152,-316,0.830

153,411,0.830

154,-749,0.831

155,-294,0.831

156,85,0.831

157,130,0.832

158,-911,0.832

159,70,0.833

160,474,0.833

161,-266,0.833

162,-863,0.834

163,231,0.834

164,-142,0.834

165,-474,0.835

166,-247,0.835

167,16,0.835

168,-161,0.836

169,145,0.836

170,130,0.837

171,-645,0.837

172,-696,0.837

173,604,0.838

174,-285,0.838

175,-655,0.838

176,66,0.839

177,351,0.839

178,-272,0.839

179,-16,0.840

180,218,0.840

181,209,0.841

182,-677,0.841

183,-471,0.841

184,623,0.842

185,-269,0.842

186,-550,0.842

187,538,0.843

188,-433,0.843

189,253,0.843

190,-206,0.844

191,281,0.844

192,591,0.844

193,364,0.845

194,-629,0.845

195,402,0.846

196,705,0.846

197,-117,0.846

198,243,0.847

199,-383,0.847

200,398,0.847

201,304,0.848

202,-259,0.848

203,310,0.848

204,342,0.849

205,370,0.849

206,-379,0.850

207,541,0.850

208,114,0.850

209,-123,0.851

210,642,0.851

211,-168,0.851

212,525,0.852

213,373,0.852

214,319,0.852

215,-114,0.853

216,525,0.853

217,60,0.854

218,82,0.854

219,85,0.854

220,768,0.855

221,-632,0.855

222,379,0.855

223,481,0.856

224,-376,0.856

225,316,0.856

226,-32,0.857

227,133,0.857

228,92,0.858

229,-386,0.858

230,430,0.858

231,-126,0.859

232,-164,0.859

233,183,0.859

234,243,0.860

235,-136,0.860

236,512,0.860

237,-51,0.861

238,-285,0.861

239,670,0.862

240,-38,0.862

241,-427,0.862

242,253,0.863

243,38,0.863

244,-187,0.863

245,158,0.864

246,0,0.864

247,-307,0.864

248,323,0.865

249,-408,0.865

250,-145,0.865

251,-364,0.866

252,342,0.866

253,-190,0.867

254,243,0.867

255,-674,0.867

256,209,0.868

257,307,0.868

258,-484,0.868

259,161,0.869

260,-740,0.869

261,57,0.869

262,57,0.870

263,-721,0.870

264,487,0.871

265,-433,0.871

266,183,0.871

267,38,0.872

268,-291,0.872

269,490,0.872

270,-332,0.873

271,604,0.873

272,-398,0.873

273,316,0.874

274,468,0.874

275,-243,0.875

276,13,0.875

277,376,0.875

278,436,0.876

279,-259,0.876

280,-402,0.876

281,468,0.877

282,95,0.877

283,92,0.877

284,66,0.878

285,-168,0.878

286,73,0.879

287,158,0.879

288,-753,0.879

289,171,0.880

290,-73,0.880

291,-525,0.880

292,120,0.881

293,-16,0.881

294,478,0.881

295,253,0.882

296,-139,0.882

297,171,0.883

298,-237,0.883

299,569,0.883

300,-455,0.884

301,-313,0.884

302,281,0.884

303,-715,0.885

304,76,0.885

305,-16,0.885

306,108,0.886

307,139,0.886

308,-433,0.886

309,215,0.887

310,-231,0.887

311,174,0.888

312,-202,0.888

313,38,0.888

314,414,0.889

315,-348,0.889

316,376,0.889

317,-253,0.890

318,-563,0.890

319,471,0.890

320,351,0.891

321,-193,0.891

322,468,0.892

323,9,0.892

324,452,0.892

325,-13,0.893

326,98,0.893

327,304,0.893

328,-319,0.894

329,496,0.894

330,0,0.894

331,-212,0.895

332,436,0.895

333,25,0.896

334,-610,0.896

335,202,0.896

336,-247,0.897

337,-500,0.897

338,98,0.897

339,-158,0.898

340,234,0.898

341,607,0.898

342,-383,0.899

343,44,0.899

344,139,0.900

345,-405,0.900

346,187,0.900

347,487,0.901

348,-16,0.901

349,-297,0.901

350,247,0.902

351,395,0.902

352,-379,0.902

353,560,0.903

354,108,0.903

355,180,0.904

356,930,0.904

357,-256,0.904

358,22,0.905

359,164,0.905

360,-145,0.905

361,262,0.906

362,174,0.906

363,-259,0.906

364,250,0.907

365,389,0.907

366,-367,0.908

367,699,0.908

368,563,0.908

369,-209,0.909

370,225,0.909

371,139,0.909

372,-57,0.910

373,386,0.910

374,-316,0.910

375,-9,0.911

376,342,0.911

377,417,0.911

378,-6,0.912

379,-16,0.912

380,376,0.913

381,-544,0.913

382,117,0.913

383,98,0.914

384,-316,0.914

385,250,0.914

386,275,0.915

387,-598,0.915

388,240,0.915

389,-104,0.916

390,-519,0.916

391,430,0.917

392,-316,0.917

393,-95,0.917

394,544,0.918

395,-490,0.918

396,145,0.918

397,180,0.919

398,-285,0.919

399,-28,0.919

400,-538,0.920

401,455,0.920

402,-307,0.921

403,-326,0.921

404,51,0.921

405,-661,0.922

406,278,0.922

407,-591,0.922

408,136,0.923

409,6,0.923

410,-294,0.923

411,123,0.924

412,-541,0.924

413,338,0.925

414,180,0.925

415,-699,0.925

416,370,0.926

417,-515,0.926

418,149,0.926

419,-123,0.927

420,-297,0.927

421,79,0.927

422,354,0.928

423,-927,0.928

424,370,0.929

425,-237,0.929

426,-288,0.929

427,-180,0.930

428,-332,0.930

429,-259,0.930

430,-104,0.931

431,-446,0.931

432,142,0.931

433,-16,0.932

434,-952,0.932

435,-187,0.932

436,63,0.933

437,-237,0.933

438,187,0.934

439,-28,0.934

440,168,0.934

441,6,0.935

442,-481,0.935

443,-32,0.935

444,-784,0.936

445,82,0.936

446,-54,0.936

447,-262,0.937

448,149,0.937

449,-206,0.938

450,247,0.938

451,51,0.938

452,-171,0.939

453,471,0.939

454,-421,0.939

455,-9,0.940

456,-800,0.940

457,512,0.940

458,-215,0.941

459,-262,0.941

460,202,0.942

461,-136,0.942

462,360,0.942

463,-743,0.943

464,430,0.943

465,-433,0.943

466,142,0.944

467,196,0.944

468,278,0.944

469,63,0.945

470,455,0.945

471,-250,0.946

472,525,0.946

473,-405,0.946

474,164,0.947

475,272,0.947

476,-28,0.947

477,123,0.948

478,-228,0.948

479,202,0.948

480,-436,0.949

481,724,0.949

482,-142,0.950

483,212,0.950

484,85,0.950

485,63,0.951

486,149,0.951

487,209,0.951

488,-13,0.952

489,310,0.952

490,-332,0.952

491,531,0.953

492,158,0.953

493,243,0.953

494,-158,0.954

495,101,0.954

496,-117,0.955

497,85,0.955

498,443,0.955

499,63,0.956

500,866,0.956

501,471,0.956

502,-225,0.957

503,57,0.957

504,528,0.957

505,-149,0.958

506,471,0.958

507,73,0.959

508,411,0.959

509,25,0.959

510,-332,0.960

511,259,0.960

512,-139,0.960

513,199,0.961

514,-370,0.961

515,436,0.961

516,-228,0.962

517,190,0.962

518,-63,0.963

519,-32,0.963

520,351,0.963

521,247,0.964

522,-354,0.964

523,130,0.964

524,-180,0.965

525,202,0.965

526,82,0.965

527,421,0.966

528,-168,0.966

529,-206,0.967

530,569,0.967

531,-237,0.967

532,54,0.968

533,275,0.968

