Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,63,0.632

2,-879,0.632

3,266,0.633

4,-424,0.633

5,-436,0.633

6,440,0.634

7,85,0.634

8,300,0.634

9,-180,0.635

10,-225,0.635

11,193,0.636

12,231,0.636

13,-281,0.636

14,-218,0.637

15,607,0.637

16,95,0.637

17,-262,0.638

18,16,0.638

19,101,0.638

20,-22,0.639

21,136,0.639

22,474,0.640

23,-300,0.640

24,503,0.640

25,196,0.641

26,108,0.641

27,-310,0.641

28,6,0.642

29,92,0.642

30,28,0.643

31,-607,0.643

32,481,0.643

33,19,0.644

34,-196,0.644

35,-13,0.644

36,218,0.645

37,-762,0.645

38,-269,0.645

39,250,0.646

40,443,0.646

41,193,0.647

42,190,0.647

43,-285,0.647

44,41,0.648

45,-66,0.648

46,256,0.648

47,54,0.649

48,-240,0.649

49,25,0.649

50,326,0.650

51,-370,0.650

52,-342,0.651

53,126,0.651

54,503,0.651

55,-269,0.652

56,-313,0.652

57,617,0.652

58,164,0.653

59,471,0.653

60,-231,0.653

61,98,0.654

62,44,0.654

63,-367,0.655

64,35,0.655

65,490,0.655

66,-607,0.656

67,158,0.656

68,493,0.656

69,-680,0.657

70,66,0.657

71,323,0.657

72,-370,0.658

73,323,0.658

74,313,0.659

75,-136,0.659

76,180,0.659

77,174,0.660

78,-522,0.660

79,70,0.660

80,424,0.661

81,294,0.661

82,-648,0.661

83,114,0.662

84,-421,0.662

85,38,0.663

86,32,0.663

87,76,0.663

88,-177,0.664

89,155,0.664

90,819,0.664

91,-187,0.665

92,-493,0.665

93,-648,0.665

94,16,0.666

95,443,0.666

96,-465,0.667

97,-142,0.667

98,104,0.667

99,228,0.668

100,-541,0.668

101,288,0.668

102,231,0.669

103,-41,0.669

104,-629,0.670

105,-32,0.670

106,133,0.670

107,-664,0.671

108,-228,0.671

109,-47,0.671

110,196,0.672

111,-316,0.672

112,-177,0.672

113,180,0.673

114,161,0.673

115,38,0.674

116,-323,0.674

117,120,0.674

118,-66,0.675

119,288,0.675

120,-379,0.675

121,-215,0.676

122,136,0.676

123,-696,0.676

124,-209,0.677

125,180,0.677

126,509,0.678

127,-247,0.678

128,-149,0.678

129,319,0.679

130,304,0.679

131,123,0.679

132,-262,0.680

133,-180,0.680

134,187,0.680

135,496,0.681

136,196,0.681

137,-383,0.682

138,-319,0.682

139,515,0.682

140,-285,0.683

141,-370,0.683

142,-275,0.683

143,-28,0.684

144,433,0.684

145,0,0.684

146,636,0.685

147,-515,0.685

148,275,0.686

149,534,0.686

150,-370,0.686

151,44,0.687

152,591,0.687

153,133,0.687

154,-275,0.688

155,-383,0.688

156,231,0.688

157,9,0.689

158,-177,0.689

159,-231,0.690

160,-209,0.690

161,193,0.690

162,-683,0.691

163,-225,0.691

164,-41,0.691

165,364,0.692

166,98,0.692

167,243,0.692

168,-386,0.693

169,-310,0.693

170,187,0.694

171,500,0.694

172,-206,0.694

173,193,0.695

174,443,0.695

175,114,0.695

176,-101,0.696

177,-534,0.696

178,101,0.697

179,212,0.697

180,-126,0.697

181,-243,0.698

182,285,0.698

183,278,0.698

184,-206,0.699

185,-199,0.699

186,0,0.699

187,408,0.700

188,-126,0.700

189,-237,0.701

190,468,0.701

191,-696,0.701

192,-342,0.702

193,-212,0.702

194,174,0.702

195,487,0.703

196,-367,0.703

197,-126,0.703

198,234,0.704

199,89,0.704

200,142,0.705

201,-648,0.705

202,149,0.705

203,243,0.706

204,85,0.706

205,-446,0.706

206,-221,0.707

207,114,0.707

208,218,0.707

209,357,0.708

210,-130,0.708

211,-304,0.709

212,101,0.709

213,212,0.709

214,-174,0.710

215,-446,0.710

216,171,0.710

217,553,0.711

218,-452,0.711

219,-35,0.711

220,126,0.712

221,313,0.712

222,139,0.713

223,177,0.713

224,500,0.713

225,51,0.714

226,-291,0.714

227,-765,0.714

228,291,0.715

229,231,0.715

230,-367,0.715

231,25,0.716

232,196,0.716

233,0,0.717

234,-38,0.717

235,-32,0.717

236,-35,0.718

237,424,0.718

238,-199,0.718

239,-266,0.719

240,-632,0.719

241,28,0.720

242,104,0.720

243,225,0.720

244,-70,0.721

245,-262,0.721

246,16,0.721

247,136,0.722

248,503,0.722

249,-266,0.722

250,-285,0.723

251,-206,0.723

252,525,0.724

253,44,0.724

254,-762,0.724

255,-373,0.725

256,114,0.725

257,427,0.725

258,-291,0.726

259,38,0.726

260,398,0.726

261,569,0.727

262,206,0.727

263,-202,0.728

264,-702,0.728

265,41,0.728

266,95,0.729

267,51,0.729

268,-202,0.729

269,620,0.730

270,234,0.730

271,-281,0.730

272,-177,0.731

273,617,0.731

274,231,0.732

275,-386,0.732

276,180,0.732

277,89,0.733

278,130,0.733

279,288,0.733

280,-430,0.734

281,370,0.734

282,161,0.734

283,275,0.735

284,25,0.735

285,-212,0.736

286,114,0.736

287,275,0.736

288,16,0.737

289,-512,0.737

290,-22,0.737

291,-38,0.738

292,478,0.738

293,-373,0.738

294,218,0.739

295,-478,0.739

296,-335,0.740

297,25,0.740

298,357,0.740

299,-506,0.741

300,-117,0.741

301,98,0.741

302,95,0.742

303,-177,0.742

304,-639,0.742

305,269,0.743

306,506,0.743

307,-478,0.744

308,-620,0.744

309,104,0.744

310,357,0.745

311,120,0.745

312,-281,0.745

313,-383,0.746

314,164,0.746

315,-95,0.747

316,41,0.747

317,-243,0.747

318,-60,0.748

319,411,0.748

320,300,0.748

321,-762,0.749

322,-126,0.749

323,32,0.749

324,212,0.750

325,114,0.750

326,-193,0.751

327,632,0.751

328,209,0.751

329,-47,0.752

330,-455,0.752

331,9,0.752

332,174,0.753

333,-38,0.753

334,-658,0.753

335,190,0.754

336,85,0.754

337,202,0.755

338,-376,0.755

339,35,0.755

340,379,0.756

341,206,0.756

342,70,0.756

343,3,0.757

344,240,0.757

345,272,0.757

346,-367,0.758

347,101,0.758

348,234,0.759

349,-171,0.759

350,-658,0.759

351,187,0.760

352,503,0.760

353,199,0.760

354,-446,0.761

355,250,0.761

356,114,0.761

357,108,0.762

358,-275,0.762

359,-66,0.763

360,231,0.763

361,-281,0.763

362,-490,0.764

363,275,0.764

364,190,0.764

365,111,0.765

366,-300,0.765

367,-44,0.765

368,145,0.766

369,756,0.766

370,-19,0.767

371,-772,0.767

372,708,0.767

373,459,0.768

374,-269,0.768

375,25,0.768

376,-209,0.769

377,82,0.769

378,275,0.769

379,-281,0.770

380,-379,0.770

381,0,0.771

382,-6,0.771

383,0,0.771

384,-187,0.772

385,455,0.772

386,-481,0.772

387,-623,0.773

388,114,0.773

389,-515,0.774

390,-51,0.774

391,187,0.774

392,114,0.775

393,-60,0.775

394,430,0.775

395,-310,0.776

396,-28,0.776

397,231,0.776

398,-288,0.777

399,25,0.777

400,756,0.778

401,272,0.778

402,-749,0.778

403,13,0.779

404,234,0.779

405,-383,0.779

406,-28,0.780

407,231,0.780

408,-300,0.780

409,285,0.781

410,493,0.781

411,-509,0.782

412,-149,0.782

413,108,0.782

414,120,0.783

415,-307,0.783

416,519,0.783

417,-187,0.784

418,-262,0.784

419,-329,0.784

420,168,0.785

421,493,0.785

422,35,0.786

423,-541,0.786

424,6,0.786

425,658,0.787

426,307,0.787

427,-28,0.787

428,-689,0.788

429,-291,0.788

430,626,0.788

