Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,-243,0.906

2,484,0.906

3,237,0.906

4,164,0.906

5,942,0.906

6,-319,0.906

7,446,0.906

8,411,0.906

9,180,0.906

10,360,0.906

11,478,0.906

12,28,0.906

13,705,0.906

14,699,0.906

15,161,0.906

16,487,0.906

17,-28,0.906

18,79,0.906

19,386,0.906

20,16,0.906

21,155,0.906

22,493,0.906

23,76,0.906

24,-313,0.906

25,768,0.906

26,-76,0.906

27,-190,0.906

28,398,0.906

29,689,0.906

30,168,0.906

31,-291,0.906

32,158,0.906

33,142,0.906

34,402,0.906

35,-177,0.906

36,379,0.906

37,389,0.906

38,459,0.906

39,155,0.906

40,487,0.906

41,-193,0.906

42,85,0.906

43,411,0.906

44,364,0.906

45,715,0.906

46,509,0.906

47,-326,0.906

48,307,0.906

49,512,0.906

50,22,0.906

51,459,0.906

52,632,0.906

53,9,0.906

54,304,0.906

55,313,0.906

56,-111,0.906

57,626,0.906

58,468,0.906

59,-76,0.906

60,370,0.906

61,484,0.906

62,281,0.906

63,310,0.906

64,259,0.906

65,6,0.906

66,332,0.906

67,566,0.906

68,500,0.906

69,493,0.906

70,142,0.906

71,791,0.906

72,92,0.906

73,436,0.906

74,534,0.906

75,281,0.906

76,379,0.906

77,740,0.906

78,383,0.906

79,-161,0.906

80,386,0.906

81,231,0.906

82,-76,0.906

83,338,0.906

84,126,0.906

85,392,0.906

86,462,0.906

87,231,0.906

88,259,0.906

89,-85,0.906

90,288,0.906

91,474,0.906

92,-180,0.906

93,310,0.906

94,459,0.906

95,38,0.906

96,392,0.906

97,256,0.906

98,-126,0.906

99,813,0.906

100,76,0.906

101,145,0.906

102,778,0.906

103,73,0.906

104,310,0.906

105,481,0.906

106,-187,0.906

107,85,0.906

108,964,0.906

109,-338,0.906

110,180,0.906

111,705,0.906

112,319,0.906

113,553,0.906

114,-459,0.906

115,92,0.906

116,313,0.906

117,468,0.906

118,424,0.906

119,57,0.906

120,-111,0.906

121,550,0.906

122,367,0.906

123,101,0.906

124,155,0.906

125,225,0.906

126,481,0.906

127,449,0.906

128,591,0.906

129,493,0.906

130,104,0.906

131,183,0.906

132,759,0.906

133,405,0.906

134,168,0.906

135,278,0.906

136,493,0.906

137,-158,0.906

138,402,0.906

139,392,0.906

140,281,0.906

141,-180,0.906

142,145,0.906

143,-171,0.906

144,155,0.906

145,904,0.906

146,228,0.906

147,142,0.906

148,288,0.906

149,474,0.906

150,-32,0.906

151,149,0.906

152,737,0.906

153,433,0.906

154,149,0.906

155,114,0.906

156,231,0.906

157,487,0.906

158,430,0.906

159,-354,0.906

160,177,0.906

161,664,0.906

162,519,0.906

163,259,0.906

164,379,0.906

165,566,0.906

166,398,0.906

167,335,0.906

168,262,0.906

169,478,0.906

170,3,0.906

171,405,0.906

172,275,0.906

173,319,0.906

174,-63,0.906

175,149,0.906

176,360,0.906

177,648,0.906

178,259,0.906

179,-73,0.906

180,873,0.906

181,259,0.906

182,-3,0.906

183,847,0.906

184,465,0.906

185,149,0.906

186,294,0.906

187,408,0.906

188,-85,0.906

189,-164,0.906

190,386,0.906

191,465,0.906

192,-158,0.906

193,41,0.906

194,920,0.906

195,101,0.906

196,-171,0.906

197,661,0.906

198,123,0.906

199,288,0.906

200,797,0.906

201,-22,0.906

202,174,0.906

203,655,0.906

204,73,0.906

205,386,0.906

206,544,0.906

207,259,0.906

208,297,0.906

209,231,0.906

210,496,0.906

211,-22,0.906

212,164,0.906

213,961,0.906

214,92,0.906

215,392,0.906

216,297,0.906

217,632,0.906

218,164,0.906

219,816,0.906

220,617,0.906

221,326,0.906

222,145,0.906

223,360,0.906

224,462,0.906

225,-180,0.906

226,446,0.906

227,392,0.906

228,9,0.906

229,164,0.906

230,493,0.906

231,-60,0.906

232,196,0.906

233,1034,0.906

234,414,0.906

235,345,0.906

236,253,0.906

237,490,0.906

238,-180,0.906

239,797,0.906

240,383,0.906

241,193,0.906

242,838,0.906

243,449,0.906

244,-291,0.906

245,512,0.906

246,721,0.906

247,73,0.906

248,648,0.906

249,547,0.906

250,-171,0.906

251,405,0.906

252,481,0.906

253,161,0.906

254,481,0.906

255,183,0.906

256,288,0.906

257,623,0.906

258,139,0.906

259,455,0.906

260,193,0.906

261,-95,0.906

262,187,0.906

263,980,0.906

264,408,0.906

265,193,0.906

266,76,0.906

267,534,0.906

268,772,0.906

269,329,0.906

270,645,0.906

271,-117,0.906

272,446,0.906

273,946,0.906

274,79,0.906

275,300,0.906

276,857,0.906

277,658,0.906

278,171,0.906

279,142,0.906

280,876,0.906

281,541,0.906

282,95,0.906

283,474,0.906

284,882,0.906

285,718,0.906

286,756,0.906

287,307,0.906

288,794,0.906

289,784,0.906

290,145,0.906

291,607,0.906

292,1236,0.906

293,1047,0.906

294,658,0.906

295,664,0.906

296,800,0.906

297,743,0.906

298,683,0.906

299,481,0.906

300,1104,0.906

301,636,0.906

302,0,0.906

303,604,0.906

304,1259,0.906

305,1100,0.906

306,661,0.906

307,430,0.906

308,667,0.906

309,1129,0.906

310,1157,0.906

311,582,0.906

312,487,0.906

313,1129,0.906

314,955,0.906

315,405,0.906

316,168,0.906

317,1006,0.906

318,1157,0.906

319,553,0.906

320,364,0.906

321,803,0.906

322,607,0.906

323,1047,0.906

324,813,0.906

325,373,0.906

326,667,0.906

327,1268,0.906

328,908,0.906

329,490,0.906

330,503,0.906

331,762,0.906

332,1433,0.906

333,914,0.906

334,699,0.906

335,427,0.906

336,781,0.906

337,927,0.906

338,1050,0.906

339,952,0.906

340,370,0.906

341,901,0.906

342,1334,0.906

343,927,0.906

344,699,0.906

345,734,0.906

346,1208,0.906

347,1085,0.906

348,1072,0.906

349,421,0.906

350,528,0.906

351,1531,0.906

352,955,0.906

353,667,0.906

354,550,0.906

355,987,0.906

356,901,0.906

357,569,0.906

358,541,0.906

359,1091,0.906

360,730,0.906

361,632,0.906

362,607,0.906

363,1271,0.906

364,642,0.906

365,547,0.906

366,1312,0.906

367,718,0.906

368,670,0.906

369,1097,0.906

370,730,0.906

371,632,0.906

372,1037,0.906

373,762,0.906

374,547,0.906

375,1211,0.906

376,787,0.906

377,746,0.906

378,579,0.906

379,705,0.906

380,500,0.906

381,746,0.906

382,421,0.906

383,1167,0.906

384,743,0.906

385,572,0.906

386,465,0.906

387,1217,0.906

388,724,0.906

389,281,0.906

390,642,0.906

391,708,0.906

392,424,0.906

393,465,0.906

394,1401,0.906

395,775,0.906

396,484,0.906

397,1161,0.906

398,955,0.906

399,253,0.906

400,591,0.906

401,547,0.906

402,860,0.906

403,952,0.906

404,626,0.906

405,550,0.906

406,553,0.906

407,1012,0.906

408,629,0.906

409,838,0.906

410,1704,0.906

411,601,0.906

412,357,0.906

413,1085,0.906

414,648,0.906

415,383,0.906

416,686,0.906

417,1227,0.906

418,756,0.906

419,145,0.906

420,1097,0.906

421,784,0.906

422,626,0.906

423,1211,0.906

424,667,0.906

425,370,0.906

426,1025,0.906

427,658,0.906

428,354,0.906

429,857,0.906

430,642,0.906

431,534,0.906

432,351,0.906

433,525,0.906

434,484,0.906

435,360,0.906

436,705,0.906

437,550,0.906

438,101,0.906

439,285,0.906

440,367,0.906

441,939,0.906

442,-16,0.906

443,294,0.906

444,357,0.906

445,1100,0.906

446,474,0.906

447,161,0.906

448,430,0.906

449,1107,0.906

450,455,0.906

451,496,0.906

452,879,0.906

453,889,0.906

454,496,0.906

455,402,0.906

456,392,0.906

457,715,0.906

458,677,0.906

459,199,0.906

460,813,0.906

461,794,0.906

462,310,0.906

463,459,0.906

464,740,0.906

465,718,0.906

466,-44,0.906

467,354,0.906

468,1230,0.906

469,585,0.906

470,351,0.906

471,667,0.906

472,686,0.906

473,585,0.906

474,626,0.906

475,1176,0.906

476,598,0.906

477,484,0.906

478,683,0.906

479,1173,0.906

480,598,0.906

481,617,0.906

482,1047,0.906

483,658,0.906

484,316,0.906

485,1116,0.906

486,791,0.906

487,642,0.906

488,908,0.906

489,1123,0.906

490,670,0.906

491,658,0.906

492,1028,0.906

493,629,0.906

494,674,0.906

495,1252,0.906

496,566,0.906

497,740,0.906

498,1259,0.906

499,670,0.906

500,465,0.906

501,693,0.906

502,557,0.906

503,927,0.906

504,699,0.906

505,367,0.906

506,889,0.906

507,705,0.906

508,104,0.906

509,743,0.906

510,942,0.906

511,364,0.906

512,835,0.906

513,414,0.906

514,73,0.906

515,503,0.906

516,696,0.906

517,259,0.906

518,503,0.906

519,753,0.906

520,800,0.906

521,655,0.906

522,237,0.906

523,974,0.906

524,579,0.906

525,765,0.906

526,974,0.906

527,749,0.906

528,803,0.906

529,1006,0.906

530,598,0.906

531,775,0.906

532,999,0.906

533,440,0.906

534,269,0.906

535,983,0.906

536,446,0.906

537,95,0.906

538,721,0.906

539,544,0.906

540,253,0.906

541,563,0.906

