Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,0,0.698

2,-401,0.698

3,-365,0.698

4,-215,0.698

5,-194,0.698

6,-202,0.698

7,-181,0.699

8,-275,0.699

9,-351,0.699

10,-194,0.699

11,-107,0.699

12,-63,0.700

13,-39,0.700

14,-362,0.700

15,-450,0.700

16,-24,0.700

17,-149,0.700

18,-100,0.701

19,-188,0.701

20,-294,0.701

21,-199,0.701

22,-13,0.701

23,25,0.702

24,-136,0.702

25,-311,0.702

26,-186,0.702

27,9,0.702

28,72,0.702

29,-321,0.703

30,-367,0.703

31,-84,0.703

32,-50,0.703

33,-68,0.703

34,-321,0.703

35,-310,0.704

36,4,0.704

37,-7,0.704

38,-94,0.704

39,-312,0.704

40,-194,0.705

41,-129,0.705

42,167,0.705

43,-9,0.705

44,-186,0.705

45,-107,0.705

46,-58,0.706

47,35,0.706

48,199,0.706

49,120,0.706

50,163,0.706

51,167,0.706

52,-21,0.707

53,-166,0.707

54,61,0.707

55,173,0.707

56,132,0.707

57,79,0.708

58,-58,0.708

59,68,0.708

60,174,0.708

61,28,0.708

62,77,0.708

63,147,0.709

64,171,0.709

65,-84,0.709

66,-63,0.709

67,42,0.709

68,-10,0.710

69,81,0.710

70,162,0.710

71,339,0.710

72,213,0.710

73,270,0.710

74,18,0.711

75,110,0.711

76,22,0.711

77,65,0.711

78,130,0.711

79,236,0.711

80,156,0.712

81,168,0.712

82,327,0.712

83,304,0.712

84,203,0.712

85,164,0.713

86,129,0.713

87,-102,0.713

88,-52,0.713

89,162,0.713

90,162,0.713

91,172,0.714

92,270,0.714

93,333,0.714

94,337,0.714

95,419,0.714

96,264,0.714

97,211,0.715

98,414,0.715

99,263,0.715

100,236,0.715

101,139,0.715

102,103,0.716

103,242,0.716

104,110,0.716

105,185,0.716

106,221,0.716

107,232,0.716

108,211,0.717

109,206,0.717

110,229,0.717

111,211,0.717

112,25,0.717

113,96,0.717

114,127,0.718

115,81,0.718

116,108,0.718

117,4,0.718

118,18,0.718

119,129,0.719

120,101,0.719

121,81,0.719

122,111,0.719

123,215,0.719

124,334,0.719

125,507,0.720

126,270,0.720

127,343,0.720

128,250,0.720

129,242,0.720

130,193,0.721

131,29,0.721

132,35,0.721

133,205,0.721

134,140,0.721

135,404,0.721

136,369,0.722

137,420,0.722

138,230,0.722

139,307,0.722

140,251,0.722

141,323,0.722

142,329,0.723

143,73,0.723

144,101,0.723

145,81,0.723

146,176,0.723

147,168,0.724

148,177,0.724

149,289,0.724

150,182,0.724

151,185,0.724

152,192,0.724

153,132,0.725

154,47,0.725

155,9,0.725

156,120,0.725

157,100,0.725

158,302,0.725

159,376,0.726

160,235,0.726

161,463,0.726

162,224,0.726

163,228,0.726

164,233,0.727

165,136,0.727

166,134,0.727

167,-22,0.727

168,135,0.727

169,107,0.727

170,141,0.728

171,232,0.728

172,199,0.728

173,227,0.728

174,172,0.728

175,-18,0.729

176,96,0.729

177,108,0.729

178,-37,0.729

179,-50,0.729

180,-58,0.729

181,68,0.730

182,103,0.730

183,91,0.730

184,175,0.730

185,242,0.730

186,98,0.730

187,197,0.731

188,245,0.731

189,249,0.731

190,249,0.731

191,250,0.731

192,162,0.732

193,91,0.732

194,45,0.732

195,-8,0.732

196,-210,0.732

197,-79,0.732

198,-57,0.733

199,59,0.733

200,102,0.733

201,95,0.733

202,190,0.733

203,208,0.733

204,184,0.734

205,104,0.734

206,-30,0.734

207,-157,0.734

208,-236,0.734

209,-201,0.735

210,-47,0.735

211,-40,0.735

212,-8,0.735

213,121,0.735

214,122,0.735

215,121,0.736

216,129,0.736

217,-93,0.736

218,18,0.736

219,12,0.736

220,104,0.736

221,105,0.737

222,54,0.737

223,-67,0.737

224,-160,0.737

225,-269,0.737

226,-270,0.738

227,-4,0.738

228,40,0.738

229,118,0.738

230,112,0.738

231,146,0.738

