Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,1070,0.691

2,120,0.718

3,-560,0.719

4,-740,0.719

5,960,0.720

6,1030,0.720

7,1320,0.721

8,810,0.721

9,1590,0.722

10,190,0.722

11,530,0.723

12,-950,0.723

13,-1140,0.724

14,950,0.724

15,500,0.725

16,1610,0.726

17,2340,0.726

18,-660,0.727

19,-1280,0.727

20,290,0.728

21,880,0.728

22,320,0.729

23,370,0.729

24,1860,0.730

25,820,0.730

26,720,0.731

27,820,0.731

28,90,0.732

29,-2470,0.732

30,-890,0.733

31,-2420,0.733

32,-1380,0.734

33,1390,0.734

34,1510,0.735

35,750,0.735

36,1440,0.736

37,1380,0.736

38,1300,0.737

39,30,0.737

40,-160,0.738

41,1520,0.738

42,120,0.739

43,100,0.740

44,550,0.740

45,30,0.741

46,-160,0.741

47,320,0.742

48,120,0.742

49,-2050,0.743

50,-530,0.743

51,-940,0.744

52,-1220,0.744

53,-430,0.745

54,-890,0.745

55,1480,0.746

56,-860,0.746

57,1570,0.747

58,730,0.747

59,1490,0.748

60,1250,0.748

61,-230,0.749

62,-1230,0.749

63,-1650,0.750

64,-870,0.750

65,-1510,0.751

66,-660,0.751

67,-900,0.752

68,-1690,0.752

69,-160,0.753

70,-150,0.754

71,290,0.754

72,1560,0.755

73,1610,0.755

74,330,0.756

75,510,0.756

76,620,0.757

77,560,0.757

78,-190,0.758

79,90,0.758

80,620,0.759

81,-1040,0.759

82,-730,0.760

83,-580,0.760

84,-2370,0.761

85,-1680,0.761

86,390,0.762

87,270,0.762

88,1560,0.763

89,640,0.763

90,-200,0.764

91,60,0.764

92,-830,0.765

93,200,0.765

94,-940,0.766

95,1060,0.766

96,2230,0.767

97,1180,0.768

98,-1640,0.768

99,-590,0.769

100,940,0.769

101,1850,0.770

102,0,0.770

103,800,0.771

104,-840,0.771

105,1650,0.772

106,120,0.772

107,1380,0.773

108,1040,0.773

109,350,0.774

110,590,0.774

111,-1080,0.775

112,-1270,0.775

113,-850,0.776

114,1040,0.776

115,10,0.777

116,-80,0.777

117,2570,0.778

118,710,0.778

119,30,0.779

120,1290,0.779

121,-1270,0.780

